lemma,declension,fem,fem_other,neut,neut_other
ou(=tos,1/2,au(/th,,tou=to,
o(/de,3,h(/de,"th=|de, th/nde",o(/de,ta/de
e)kei=nos,1/2,e)kei/nh,,e)kei=no,
thlikou=tos,1/2,thlikau/th,thlikau/ths,thlikou=ton,thlikau=ta
tosou=tos,1/2,tosau/th,tosau/thn,tosou=ton,"tosau=ta, tosou/tou, tosou/tw|, tosou=to, tosou=ton"
toiou=tos,1/2,toiau/th,,toiou=to,"toiau=ta, toiou/twn, toiou/tois, toiou=to"
ka)kei=nos,1/2,,,ka)kei=non,ka)kei=na
toio/sde,1/2,toia/de,toia=sde,,
