lemma,declension,fem,fem_other,neut,neut_other
o(/s,1/2,h(/,,o(/,
o(/sos,1/2,o(/sh,o(/sai,o(/son,
o(/stis,1/2,h(/tis,,o(/tinon,a(/tina
oi(=os,1/2,oi(/a,,oi(=on,
o(poi=os,1/2,o(poi/a,,o(poi=on,
