Lemma,POS,genitive_singular
αὐλητής,noun,αὐλητοῦ
αὔξησις,noun,αὐξήσεως
αὐτόπτης,noun,αὐτόπτου
ἀφεδρών,noun,ἀφεδρῶνος
ἀφειδία,noun,ἀφειδίας
ἀφελότης,noun,ἀφελότητος
ἀφθαρσία,noun,ἀφθαρσίας
ἀφθορία,noun,ἀφθορίας
ἄφιξις,noun,ἀφίξεως
ἀφορμή,noun,ἀφορμῆς
ἄψινθος,noun,ἀψίνθου
βαθμός,noun,βαθμοῦ
βάϊον,noun,βαΐου
βαπτισμός,noun,βαπτισμοῦ
Βαραββᾶς,noun,Βαραββᾶ
Βαρθολομαῖος,noun,Βαρθολομαίου
βάρος,noun,βάρους
Βαρσαββᾶς,noun,Βαρσαββᾶ
βασανιστής,noun,βασανιστοῦ
βάσις,noun,βάσεως
βάτραχος,noun,βατράχου
βδέλυγμα,noun,βδελύγματος
βεβαίωσις,noun,βεβαιώσεως
βέλος,noun,βέλους
Βέροια,noun,Βεροίας
Βηθφαγή,noun,Βηθφαγῆς
βιαστής,noun,βιαστοῦ
βιβλαρίδιον,noun,βατράχου
βίωσις,noun,βιώσεως
Βλάστος,noun,Βλάστου
βλέμμα,noun,βλέμματος
βοή,noun,βοῆς
βοήθεια,noun,βοηθείας
βόθυνος,noun,βοθύνου
βολή,noun,βολῆς
βοτάνη,noun,βοτάνης
βότρυς,noun,βότρυος
βουνός,noun,βουνοῦ
βοῦς,noun,βοός
βραβεῖον,noun,βραβείου
βραδύτης,noun,βραδύτητος
βρόχος,noun,βρόχου
βυθός,noun,βυθοῦ
βύσσος,noun,βύσσου
βωμός,noun,βωμοῦ
Γάζα,noun,Γάζας
Γάϊος,noun,Γαΐου
Γαλάτης,noun,Γαλάτου
γαστήρ,noun,γαστρός
γείτων,noun,γείτονος
γενεαλογία,noun,γενεαλογίας
γενέσιος,noun,γενεσίου
γέννημα,noun,γεννήματος
γερουσία,noun,γερουσίας
γεωργός,noun,γεωργοῦ
γῆρας,noun,γήρους
γλωσσόκομον,noun,γλωσσοκόμου
γνόφος,noun,γνόφου
γνώστης,noun,γνώστου
γογγυστής,noun,γογγυστοῦ
γόης,noun,γόητος
Γολγοθᾶ,noun,Γολγοθᾶ
γόμος,noun,γόμου
γονεύς,noun,γονέως
γόνυ,noun,γόνατος
γραμματεύς,noun,γραμματέως
γυναικάριον,noun,γυναικαρίου
δαίμων,noun,δαίμονος
δάκρυον,noun,δάκρυος
δακτύλιος,noun,δακτυλίου
Δαλματία,noun,Δαλματίας
Δαμασκός,noun,Δαμασκοῦ
δάνειον,noun,δανείου
