Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
προκαταρτίζω,verb,,προκατήρτοσα,,,
προκηρύσσω,verb,,προεκήρυξα,,,
προκόπτω,verb,προκόψω,προέκοψα,,,
προκυρόομαι,verb,,,,προκεκύρωμαι,
προλαμβάνω,verb,,προέλαβον,,,προλημφθήσομαι
προλέγω,verb,,,,προείρημαι,
προοράω,verb,,προεῖδον,προεώρακα,,
προορίζω,verb,,προώρισα,,,προορισθήσομαι
προπάσχω,verb,,προέπαθον,,,
προπέμπω,verb,,προέπεμψα,,,προπεμφθήσομαι
προπορεύω,verb,προπορεύσομαι,,,,
προσαγορεύω,verb,,,,,προσαγορευθήσομαι
προσάγω,verb,,προσήγαγον,,,
προσαναβαίνω,verb,,προσανέβην,,,
προσαναλίσκω,verb,,προσανήλωσα,,,
προσαναπληρόω,verb,,προσανεπλήρωσα,,,
προσανατίθημι,verb,,προσανεθέμην,,,
προσαπειλέω,verb,,προσαπειλησάμην,,,
προσδαπανάω,verb,,προσεδαπάνησα,,,
προσδέχομαι,verb,,προσεδεξάμην,,,
προσεργάζομαι,verb,,προσηργασάμην,,,
προσέρχομαι,verb,,προσῆλθον,προσελήλυθα,,
προσεύχομαι,verb,προσεύξομαι,προσευξάμην,,,
προσέχω,verb,,,προσέσχηκα,,
προσηλόω,verb,,προσήλωσα,,,
προσκαλέω,verb,,προσεκαλέσα,,,
προσκαρτερέω,verb,προσκαρτερήσω,,,,
προσκληρόω,verb,,,,,προσκληρωθήσομαι
προσκλίνω,verb,,,,,προσκλιθήσομαι
προσκολλάω,verb,,,,,προσκολληθήσομαι
προσκόπτω,verb,,προσέκοψα,,,
προσκυλίω,verb,,προσεκύλισα,,,
προσκυνέω,verb,προσκυνήσω,προσεκύνησα,,,
προσλαλέω,verb,,προσελάλησα,,,
προσλαμβάνω,verb,,προσέλαβον,,,
προσμένω,verb,,προσέμεινα,,,
προσορμίζω,verb,,,,,προσορμισθήσομαι
προσπήγνυμι,verb,,προσέπηξα,,,
προσπίπτω,verb,,προσέπεσα,,,
προσποιέω,verb,,προσεποίησα,,,
προσρήγνυμι,verb,,προσέρηξα,,,
προστάσσω,verb,,προσέταξα,,προστέταγμαι,
προστίθημι,verb,,προσέθηκα,,,προστεθήσομαι
προστρέχω,verb,,προσέδραμον,,,
προσφέρω,verb,,,προσενήνοχα,,προσενεχθήσομαι
προσφωνέω,verb,,προσεφώνησα,,,
προτείνω,verb,,προέτεινα,,,
προτίθημι,verb,,προεθέμην,,,
προτρέπω,verb,,προέτρεψα,,,
προτρέχω,verb,,προέδραμον,,,
προφητεύω,verb,προφητεύσω,ἐπροφήτευσα,,,
προφθάνω,verb,,προέφθασα,,,
προχειρίζω,verb,,προχείρισα,,προκεχείρισμαι,
προχειροτονέω,verb,,,,προκεχειροτόνημαι,
πταίω,verb,,ἔπταισα,,,
πτοέω,verb,,,,,πτοηθήσομαι
πτύσσω,verb,,ἔπτυξα,,,
πτύω,verb,,ἔπτυσα,,,
πτωχεύω,verb,,ἐπτώχευσα,,,
πυνθάνομαι,verb,,ἐπυθόμην,,,
πυρόω,verb,,,,πεπύρωμαι,
πωλέω,verb,,ἐπώλησα,,,
πωρόω,verb,,ἐπώρωσα,,πεπώρωμαι,πωρωθήσομαι
ῥαβδίζω,verb,,,,,ῥαβδισθήσομαι
ῥαντίζω,verb,,ἐραντισα,,ῥεράντισμαι,
ῥαπίζω,verb,,ἐράπισα,,,
ῥέω,verb,ῥεύσω,,,,ῥεθήσομαι
ῥήγνυμι,verb,ῥήξω,ἔρρηξα,,,
