parsing_atom_head,parsing_atom_dependent,position
a)delfou/s_N----APM,u(mw=n_E----GP-,after
a)delfw=n_N----GPM,du/o_A----GPM,before
a)diki/a_N----NSF,h(mw=n_E----GP-,after
a)diki/a_N----NSF,para/_P-------,after
a)diki/a_N----NSF,pa=sa_A----NSF,before
a)diki/an_N----ASF,tau/thn_M----ASF,after
ai)w=nas_N----APM,ai)w/nwn_N----GPM,after
ai)w=nos_N----GSM,tou/tou_M----GSM,after
a)kroatai/_N----NPM,mo/non_A----ASN,after
a)kroatai/_N----NPM,paralogizo/menoi_V-PMPNPM,after
a(marti/a_N----NSF,pro/s_P-------,after
a(marti/ai_N----NPF,sou_E----GS-,before
*)amplia=ton_N----ASM,a)gaphto/n_A----ASM,after
a)na/gaion_N----ASN,e)strwme/non_V-RPPASN,after
a)na/gaion_N----ASN,me/ga_A----ASN,after
a)naire/sei_N----DSF,au)tou=_E----GSM,after
a)na/stasis_N----NSF,kai/_B-------,before
a)na/stasis_N----NSF,nekrw=n_A----GPM,after
a)na/stasis_N----NSF,prw/th_A----NSF,after
a)/ndra_N----ASM,sou_E----GS-,after
a)/ndras_N----APM,e)/kamyan_V3AAI-P-,after
a)/ndras_N----APM,e(ptakisxili/ous_A----APM,before
a)/ndres_N----VPM,*)israhli=tai_N----VPM,after
a)/ndres_N----NPM,pa/ntes_A----NPM,before
a)/ndres_N----NPM,pentakisxi/lioi_A----NPM,any
a)/ndres_N----NPM,tetrakisxi/lioi_A----NPM,before
a)/ndres_N----NPM,w(sei/_B-------,before
a)nqrw/pois_N----DPM,pa=si(n)_A----DPM,before
a)/nqrwpon_N----ASM,h)mfiesme/non_V-RPPASM,after
a)/nqrwpon_N----ASM,tuflo/n_A----ASM,after
a)/nqrwpos_N----NSM,a(martwlo/s_A----NSM,after
a)/nqrwpos_N----NSM,e)xqro/s_A----NSM,before
a)/nqrwpos_N----NSM,ou(=tos_M----NSM,after
a)/nqrwpos_N----NSM,ti\s_I----NSM,after
a)/nqrwpos_N----NSM,u(drwpiko/s_A----NSM,after
a)nta/llagma_N----ASN,yuxh=s_N----GSF,after
a)ntilogi/as_N----GSF,pa/shs_A----GSF,before
a)parxh/_N----NSF,kekoimhme/nwn_V-RMPGPM,after
*)apellh=n_N----ASM,do/kimon_A----ASM,after
a)pisti/an_N----ASF,au)tw=n_E----GPM,after
a)pologi/a_N----NSF,a)nakri/nousi(n)_V-PAPDPM,after
a)pologi/a_N----NSF,e)mh/_A----NSF,before
a)rgu/ria_N----APN,tria/konta_A----APN,before
a)rgu/rion_N----ASN,mou_E----GS-,before
a)rni/a_N----APN,mou_E----GS-,after
a)/rnas_N----APM,e)n_P-------,after
a)/rtous_N----APM,e(pta/_A----APM,before
a)/rtous_N----APM,po/sous_A----APM,before
a)/rtous_N----APM,tetrakisxili/wn_A----GPM,after
a)rxh/_N----NSF,eu)aggeli/ou_N----GSN,after
a)rxiere/a_N----ASM,qeou=_N----GSM,after
a)sqenei/as_N----GSF,mou_E----GS-,after
a)skou/s_N----APM,kainou/s_A----APM,after
a)spasmo/s_N----NSM,xeiri/_N----DSF,after
a)ssari/wn_N----GPN,du/o_A----GPN,after
ba/ptisma_N----ASN,baptisqh=nai_V-APN---,after
ba/ptisma_N----ASN,*)iwa/nnou_N----GSM,before
basilei/a_N----NSF,ou)ranw=n_N----GPM,after
basilei/an_N----ASF,au)tou=_E----GSM,after
basilei/an_N----ASF,qeou=_N----GSM,any
basile/a_N----ASM,u(mw=n_E----GP-,after
basilei=s_N----NPM,gh=s_N----GSF,after
basileu/s_N----NSM,u(mw=n_E----GP-,after
bibli/on_N----ASN,a)postasi/ou_N----GSN,after
bi/blos_N----NSF,gene/sews_N----GSF,after
boulh/mati_N----DSN,au)tou=_E----GSM,after
bou=n_N----ASM,a)low=nta_V-PAPASM,after
braxi/wn_N----NSM,kuri/ou_N----GSM,after
brontai/_N----NPF,e(pta/_A----NPF,before
brw/mata_N----APN,pa/nta_A----APN,before
brw/mati_N----DSN,sou_E----GS-,after
*ga/i+os_N----NSM,ce/nos_A----NSM,after
*gai/+w|_N----DSM,a)gaphtw=|_A----DSM,after
*gai/+w|_N----DSM,a)gapw=_V1PAI-S-,after
galh/nh_N----NSF,mega/lh_A----NSF,after
genea=|_N----DSF,kai/_B-------,before
genea=|_N----DSF,ponhra=|_A----DSF,after
genea=|_N----DSF,tau/th|_M----DSF,after
genea/n_N----ASF,tau/thn_M----ASF,after
gene/sews_N----GSF,*)ihsou=_N----GSM,after
ge/nesis_N----NSF,*)ihsou=_N----GSM,before
gennh/mata_N----VPN,e)xidnw=n_N----GPF,after
gh=n_N----ASF,e)kei/nhn_M----ASF,after
gh=n_N----ASF,o(/lhn_A----ASF,before
gh=s_N----GSF,*xaldai/wn_N----GPM,after
gra/mmasi(n)_N----DPN,phli/kois_I----DPN,before
grafai/_N----NPF,o(/ti_C-------,after
grafai/_N----NPF,profhtw=n_N----GPM,after
grafh/_N----NSF,e(te/ra_A----NSF,before
gunaiko/s_N----GSF,*lw/t_N----GSM,after
gunh/_N----NSF,ti/nos_I----GSM,before
daimo/nia_N----NPN,kai/_B-------,before
daimo/nia_N----NPN,polla/_A----NPN,after
*daui/d_N----NSM,au)to/s_E----NSM,before
*daui/d_N----GSM,ui(ou=_N----GSM,after
de/hsis_N----NSF,dikai/ou_A----GSM,after
de/hsis_N----NSF,e)nergoume/nh_V-PMPNSF,after
de/smion_N----ASM,e(/na_A----ASM,before
de/smion_N----ASM,e)pi/shmon_A----ASM,after
de/smion_N----ASM,lego/menon_V-PPPASM,after
de/smion_N----ASM,parh|tou=nto_V3IMI-P-,after
desmw=n_N----GPM,mou_E----GS-,before
dia/konoi_N----NPM,e)pisteu/sate_V2AAI-P-,after
dia/konoi_N----NPM,*xristou=_N----GSM,after
diakri/seis_N----APF,dialogismw=n_N----GPM,after
didaskali/a|_N----DSF,u(giainou/sh|_V-PAPDSF,before
didaxh=|_N----DSF,au)tou=_E----GSM,after
dikaiosu/nhn_N----ASF,qeou=_N----GSM,before
do/ca_N----NSF,h(mw=n_E----GP-,after
do/ca_N----NSF,kai/_C-------,after
dou=loi_N----NPM,a(marti/as_N----GSF,after
dou=loi_N----NPM,a)nqrw/pwn_N----GPM,after
dou=los_N----NSM,*xristou=_N----GSM,before
duna/meis_N----APF,polla/s_A----APF,after
dwrea=|_N----DSF,a)nekdihgh/tw|_A----DSF,before
dwrea=|_N----DSF,au)tou=_E----GSM,before
e)/qnh_N----APN,pa/nta_A----APN,before
e)qnw=n_N----GPN,kai/_B-------,before
ei)kw/n_N----NSF,au(/th_M----NSF,after
e)kdi/khsin_N----ASF,au)tw=n_E----GPM,after
e)kklhsi/a|_N----DSF,e)nno/mw|_A----DSF,before
e)kklhsi/ai_N----NPF,*)asi/as_N----GSF,after
e)kklhsi/ai_N----NPF,pa=sai_A----NPF,after
e)kklhsi/ai_N----NPF,*xristou=_N----GSM,after
e)kklhsi/as_N----GSF,o(/lhs_A----GSF,before
e)ksta/sei_N----DSF,mega/lh|_A----DSF,after
e)lpi/da_N----ASF,dikaiosu/nhs_N----GSF,after
e)ntolh/_N----NSF,a)/llh_A----NSF,before
e)ntolh/_N----NSF,au)tou=_E----GSM,after
e)ntolh/_N----NSF,mei/zwn_A----NSF,before
e(orth/_N----NSF,a)zu/mwn_A----GPN,after
e(orth/_N----NSF,*)ioudai/wn_A----GPM,after
e(orth/_N----NSF,legome/nh_V-PPPNSF,after
e(orth/_N----NSF,skhnophgi/a_N----NSF,after
e)cousi/an_N----ASF,e)rga/zesqai_V-PMN---,after
e)cousi/an_N----ASF,qhri/ou_N----GSN,after
e)cousi/an_N----ASF,kai/_C-------,after
e)cousi/an_N----ASF,pa=san_A----ASF,after
e)cousi/an_N----ASF,tau/thn_M----ASF,after
e)cousi/as_N----GSF,u(mw=n_E----GP-,before
e)paggeliw=n_N----GPF,qeou=_N----GSM,after
e)piqumi/an_N----ASF,sarko/s_N----GSF,after
e)rga/tas_N----APM,kakou/s_A----APM,before
e)/rga_N----APN,patro/s_N----GSM,after
e)/rgon_N----NSN,e)n_P-------,after
e)/rgon_N----ASN,qeou=_N----GSM,after
e)/rgon_N----NSN,mou_E----GS-,after
e)/rgou_N----GSN,kalou=_A----GSN,before
e)/rgwn_N----GPN,au)th=s_E----GSF,after
e)/rgwn_N----GPN,no/mou_N----GSM,after
e)/th_N----APN,tessera/konta_A----APN,before
e(toima/sate_V2AAM-P-,e)kei=_B-------,before
eu)aggeli/ou_N----GSN,*)ihsou=_N----GSM,after
e)xqro/s_A----NSM,u(mw=n_E----GP-,after
zhlwtai/_N----NPM,a)gaqou=_A----GSN,before
zu/mh_N----NSF,mikra/_A----NSF,before
zu/mhs_N----GSF,kai/_C-------,after
zw=|a_N----NPN,te/ssara_A----NPN,before
zwh/_N----NSF,ai)w/nios_A----NSF,after
zwh/_N----NSF,au)tou=_E----GSM,after
zwh/n_N----ASF,ai)w/nion_A----ASF,after
h)/qh_N----APN,xrhsta/_A----APN,after
h(me/ra|_N----DSF,e)kei/nh|_M----DSF,before
h(me/ra_N----NSF,paraskeuh=s_N----GSF,after
h(me/ran_N----ASF,ai)w=nos_N----GSM,after
h(me/ras_N----APF,du/o_A----APF,before
h(me/ras_N----GSF,e)kei/nhs_M----GSF,before
h(me/ras_N----APF,e(pta/_A----APF,before
h(me/ras_N----APF,polla/s_A----APF,before
h(me/ras_N----APF,tessera/konta_A----APF,after
h(me/ras_N----APF,tina/s_I----APF,after
*(hrw|di/wna_N----ASM,suggenh=_A----ASM,after
h)=xos_N----NSM,peri/_P-------,after
qa/natos_N----NSM,deu/teros_A----NSM,after
qana/tou_N----GSM,au)tou=_E----GSM,after
qana/tou_N----GSM,deute/rou_A----GSM,after
qana/tw|_N----DSM,poi/w|_A----DSM,before
qee/_N----VSM,mou_E----GS-,after
qe/lhma_N----ASN,patro/s_N----GSM,after
qeo/s_N----NSM,a)lhqino/s_A----NSM,before
qeo/s_N----NSM,ei)rh/nhs_N----GSF,after
qeo/s_N----NSM,e)pife/rwn_V-PAPNSM,after
qeo/s_N----NSM,mo/nos_A----NSM,before
qeo/s_N----NSM,nekrw=n_A----GPM,after
qeou=_N----GSM,zw=ntos_V-PAPGSM,after
qhri/ou_N----GSN,prw/tou_A----GSN,before
qli/yei_N----DSF,mou_E----GS-,before
qri/c_N----NSF,e)k_P-------,after
tri/xes_N----NPF,kai/_B-------,before
tri/xes_N----NPF,kefalh=s_N----GSF,after
tri/xes_N----NPF,pa=sai_A----NPF,after
tri/xes_N----NPF,u(mw=n_E----GP-,before
qugate/res_N----NPF,parqe/noi_N----NPF,after
qugate/res_N----NPF,profhteu/ousai_V-PAPNPF,after
qugate/res_N----NPF,te/ssares_A----NPF,after
quga/thr_N----NSF,au)th=s_E----GSF,after
*)ia/kwbon_N----ASM,a)delfo/n_N----ASM,after
*)ihsou=_N----GSM,kuri/ou_N----GSM,any
*)ihsou=_N----GSM,ui(ou=_N----GSM,after
*)ihsou=_N----GSM,*xristou=_N----GSM,any
*)ihsou=_N----DSM,*xristw=|_N----DSM,before
