parsing_atom_head,parsing_atom_dependent,position
a)gapw=men_V1PAI-P-,h(mei=s_E----NP-,before
a)gapw=si(n)_V3PAI-P-,a(martwloi/_A----NPM,before
h)ga/phse(n)_V3AAI-S-,au)to/s_E----NSM,before
a)gnoei=n_V-PAN---,u(ma=s_E----AP-,before
a)/gontai_V3PPI-P-,o(/soi_R----NPM,before
a)xqh=nai_V-APN---,au)to/n_E----ASM,before
h)/gonto_V3IPI-P-,kakou=rgoi_A----NPM,after
a)dikhqh=|_V3APS-S-,nikw=n_V-PAPNSM,before
ai)/rei_V3PAI-S-,ou)dei/s_A----NSM,before
ai)/retai_V3PPI-S-,zwh/_N----NSF,after
a)kolou/qei_V2PAM-S-,su/_E----NS-,before
h)kolou/qei_V3IAI-S-,kai/_n-------,after
h)kolou/qei_V3IAI-S-,o)/xlos_N----NSM,after
h)kolouqh/samen_V1AAI-P-,h(mei=s_E----NP-,before
h)kolou/qhsan_V3AAI-P-,maqhtai/_N----NPM,after
h)kolou/qhsan_V3AAI-P-,oi(_D----NPM,before
h)kolou/qhsan_V3AAI-P-,o)/xloi_N----NPM,any
h)kolou/qhse(n)_V3AAI-S-,o)/xlos_N----NSM,after
a)koue/tw_V3PAM-S-,e)/xei_V3PAI-S-,before
a)koue/tw_V3PAM-S-,e)/xwn_V-PAPNSM,before
a)kou/santes_V-AAPNPM,de/ka_A----NPM,after
a)kou/santes_V-AAPNPM,maqhtai/_N----NPM,after
a)kou/santes_V-AAPNPM,o)/xloi_N----NPM,after
a)kou/sas_V-AAPNSM,*(hrw/|dhs_N----NSM,after
a)kousa/tw_V3AAM-S-,e)/xwn_V-PAPNSM,before
a)kou/sate_V2AAM-P-,u(mei=s_E----NP-,before
h)/koue(n)_V3IAI-S-,o)/xlos_N----NSM,before
h)/kouon_V3IAI-P-,maqhtai/_N----NPM,after
h)/kouon_V3IAI-P-,*farisai=oi_N----NPM,after
h)kou/samen_V1AAI-P-,au)toi/_E----NPM,before
h)/kousan_V3AAI-P-,maqhtai/_N----NPM,after
a(lisqh/setai_V3FPI-S-,pa=s_A----NSM,before
a)naba/ntwn_V-AAPGPM,au)tw=n_E----GPM,after
a)naba/s_V-AAPNSM,o)/xlos_N----NSM,after
a)ne/bh_V3AAI-S-,*)ihsou=s_N----NSM,after
h)nagka/sate_V2AAI-P-,u(mei=s_E----NP-,before
a)nagnwsqh=nai_V-APN---,e)pistolh/n_N----ASF,after
a)nakli=nai_V-AAN---,pa/ntas_A----APM,after
a)napau/sw_V1FAI-S-,ka)gw/_E----NS-,before
a)napesei=n_V-AAN---,a)nqrw/pous_N----APM,before
a)ne/pesan_V3AAI-P-,a)/ndres_N----NPM,after
a)nexw/rhse(n)_V3AAI-S-,*)ihsou=s_N----NSM,before
a)nqe/sthke(n)_V3RAI-S-,ti/s_I----NSM,before
a)nasta/n_V-AAPNSN,plh=qos_N----NSN,after
a)nasta/ntes_V-AAPNPM,new/teroi_A----NPM,after
a)nasta/s_V-AAPNSM,a)rxiereu/s_N----NSM,after
a)nasth/setai_V3FMI-S-,a)delfo/s_N----NSM,after
a)ne/sth_V3AAI-S-,kora/sion_N----NSN,after
a)ne/sthse(n)_V3AAI-S-,qeo/s_N----NSM,after
a)noigw=si(n)_V3APS-P-,o)fqalmoi/_N----NPM,after
h)new/|xqhsan_V3API-P-,o)fqalmoi/_N----NPM,after
h)/noice(n)_V3AAI-S-,h(_D----NSF,before
a)ph/ggeilan_V3AAI-P-,i)do/ntes_V-AAPNPM,after
a)ph/ggeilan_V3AAI-P-,maqhtai/_N----NPM,after
a)parqh=|_V3APS-S-,numfi/os_N----NSM,after
a)pekdexo/meqa_V1PMI-P-,h(mei=s_E----NP-,before
a)peleu/sontai_V3FMI-P-,ou(=toi_M----NPM,after
a)pelqei=n_V-AAN---,au)to/n_E----ASM,before
a)pelqo/ntes_V-AAPNPM,a)pestalme/noi_V-RPPNPM,after
a)pe/lqw_V1AAS-S-,e)gw/_E----NS-,before
a)ph=lqan_V3AAI-P-,prw=ta_A----NPN,before
a)ph=lqe(n)_V3AAI-S-,a)/ggelos_N----NSM,after
a)ph=lqe(n)_V3AAI-S-,ou)ai/_N-------,before
a)ph=lqon_V3AAI-P-,maqhtai/_N----NPM,after
h)pi/sthsan_V3AAI-P-,tine/s_I----NPM,after
a)pede/canto_V3AMI-P-,a)delfoi/_N----NPM,after
a)pe/qane(n)_V3AAI-S-,*xristo/s_N----NSM,before
a)pe/qane(n)_V3AAI-S-,paidi/on_N----NSN,before
a)peqa/nomen_V1AAI-P-,oi(/tines_R----NPM,before
a)pe/qanon_V3AAI-P-,profh=tai_N----NPM,before
a)pokalu/ptetai_V3PPI-S-,ui(o/s_N----NSM,before
a)pekalu/fqh_V3API-S-,braxi/wn_N----NSM,before
a)pekefa/lisa_V1AAI-S-,e)gw/_E----NS-,before
a)poko/yontai_V3FMI-P-,a)nastatou=ntes_V-PAPNPM,after
a)pekri/qh_V3API-S-,gunh/_N----NSF,after
a)pekri/qh_V3API-S-,*)ihsou=s_N----NSM,any
a)pekri/qh_V3API-S-,*niko/dhmos_N----NSM,after
a)pekri/qh_V3API-S-,o(_D----NSM,before
a)pekri/qh_V3API-S-,o)/xlos_N----NSM,after
a)pekri/qh_V3API-S-,*si/mwn_N----NSM,after
a)pekri/qh_V3API-S-,*pila=tos_N----NSM,after
a)pekri/qh_V3API-S-,xili/arxos_N----NSM,after
a)pekri/qhn_V1API-S-,e)gw/_E----NS-,before
a)pekri/qhsan_V3API-P-,a)rxierei=s_N----NPM,after
