parsing_atom_head,parsing_atom_dependent,position
a)ph/ggeilan_V3AAI-P-,de/_C-------,immediately_after
a)pelqo/ntes_V-AAPNPM,de/_C-------,immediately_after
a)ph=lqe(n)_V3AAI-S-,ou)=n_C-------,immediately_after
a)ph=lqon_V3AAI-P-,ou)=n_C-------,immediately_after
a)pekri/qhsan_V3API-P-,ou)=n_C-------,immediately_after
a)pokriqei/s_V-APPNSM,de/_C-------,immediately_after
a)pokriqe/ntes_V-APPNPM,de/_C-------,immediately_after
e)ba/stasan_V3AAI-P-,ou)=n_C-------,immediately_after
blasfhmei/sqw_V3PPM-S-,ou)=n_C-------,immediately_after
e)gi/nwske(n)_V3IAI-S-,ga/r_C-------,immediately_after
e)/dei_V3IAI-S-,de/_C-------,immediately_after
diamerizo/menoi_V-PMPNPM,de/_C-------,immediately_after
die/tribon_V3IAI-P-,de/_C-------,immediately_after
e)du/nato_V3IMI-S-,ga/r_C-------,immediately_after
e)ggi/santos_V-AAPGSM,de/_C-------,immediately_after
h)/ggize(n)_V3IAI-S-,de/_C-------,immediately_after
h)/|dei_V3LAI-S-,ga/r_C-------,immediately_after
e)/sesqe_V2FMI-P-,ga/r_C-------,immediately_after
e)/sontai_V3FMI-P-,ga/r_C-------,immediately_after
h)=men_V1IAI-P-,de/_C-------,immediately_after
h)=n_V3IAI-S-,de/_C-------,immediately_after
h)=san_V3IAI-P-,ga/r_C-------,immediately_after
h)=san_V3IAI-P-,de/_C-------,immediately_after
ei)skalesa/menos_V-AMPNSM,ou)=n_C-------,immediately_after
e)ceplh/ssonto_V3IPI-P-,de/_C-------,immediately_after
e)lpi/zw_V1PAI-S-,de/_C-------,immediately_after
e)phrw/thse(n)_V3AAI-S-,de/_C-------,immediately_after
e)piginw/skete_V2PAM-P-,ou)=n_C-------,immediately_after
e)/rxetai_V3PMI-S-,ou)=n_C-------,immediately_after
h)=lqe(n)_V3AAI-S-,ou)=n_C-------,immediately_after
ei)=xon_V3IAI-P-,de/_C-------,immediately_after
zhlou=te_V2PAM-P-,de/_C-------,immediately_after
qe/leis_V2PAI-S-,de/_C-------,immediately_after
qe/lw_V1PAI-S-,de/_C-------,immediately_after
ei(sth/kei_V3LAI-S-,de/_C-------,immediately_after
staqei/s_V-APPNSM,de/_C-------,immediately_after
kath/nthse(n)_V3AAI-S-,de/_C-------,immediately_after
e)/klaion_V3IAI-P-,de/_C-------,immediately_after
e)krau/gasan_V3AAI-P-,ou)=n_C-------,immediately_after
labw/n_V-AAPNSM,ou)=n_C-------,immediately_after
ei)=pan_V3AAI-P-,de/_C-------,immediately_after
ei)=pan_V3AAI-P-,ou)=n_C-------,immediately_after
ei)pe/_V2AAM-S-,ou)=n_C-------,immediately_after
ei)=pe(n)_V3AAI-S-,de/_C-------,immediately_after
ei)=pe(n)_V3AAI-S-,ou)=n_C-------,immediately_after
ei)=pe(n)_V3AAI-S-,te/_C-------,immediately_after
ei)=pon_V1AAI-S-,de/_C-------,immediately_after
ei)=pon_V3AAI-P-,ou)=n_C-------,immediately_after
ei)rh/kei_V3LAI-S-,de/_C-------,immediately_after
e)/lege(n)_V3IAI-S-,de/_C-------,immediately_after
e)/legon_V3IAI-P-,ou)=n_C-------,immediately_after
e)rei=s_V2FAI-S-,ou)=n_C-------,immediately_after
le/gei_V3PAI-S-,ou)=n_C-------,immediately_after
le/gomen_V1PAI-P-,ga/r_C-------,immediately_after
le/gw_V1PAI-S-,de/_C-------,immediately_after
le/gw_V1PAI-S-,ou)=n_C-------,immediately_after
logizo/meqa_V1PMI-P-,ga/r_C-------,immediately_after
makroqumh/sate_V2AAM-P-,ou)=n_C-------,immediately_after
i)do/ntes_V-AAPNPM,de/_C-------,immediately_after
w)/fqh_V3API-S-,de/_C-------,immediately_after
w)rgi/sqh_V3API-S-,de/_C-------,immediately_after
parakalw=_V1PAI-S-,ou)=n_C-------,immediately_after
pareka/lese(n)_V3AAI-S-,te/_C-------,immediately_after
pleo/ntwn_V-PAPGPM,de/_C-------,immediately_after
proe/pempon_V3IAI-P-,de/_C-------,immediately_after
prose/xete_V2PAM-P-,de/_C-------,immediately_after
prose/tace(n)_V3AAI-S-,de/_C-------,immediately_after
ptohqe/ntes_V-APPNPM,de/_C-------,immediately_after
strafei/s_V-APPNSM,de/_C-------,immediately_after
sunepe/qento_V3AMI-P-,de/_C-------,immediately_after
e)/fqase(n)_V3AAI-S-,de/_C-------,immediately_after
e)xa/rhsan_V3API-P-,ou)=n_C-------,immediately_after
xroni/zontos_V-PAPGSM,de/_C-------,immediately_after
