lemma,gender,declension,gs
e)ne/dra,feminine,,e)ne/dras
deciola/bos,masculine,,deciola/bou
*lusi/as,masculine,1,
kath/goros,masculine,,kathgo/rou
*)antipatri/s,feminine,,*)antipatri/dos
dio/rqwma,neuter,3,diorqw/matos
prwtosta/ths,masculine,,prwtosta/tou
e)pi/stasis,feminine,,e)pista/sews
*drou/silla,feminine,,*drousi/llhs
dia/doxos,masculine,,diado/xou
*po/rkios,masculine,,*porki/ou
ai)ti/wma,neuter,3,ai)tiw/matos
*)agri/ppas,masculine,3,
katadi/kh,feminine,,katadi/khs
a)nabolh/,feminine,,a)nabolh=s
dia/gnwsis,feminine,,diagnw/sews
a)kroath/rion,neuter,,a)kroathri/ou
e)coxh/,feminine,,e)coxh=s
gnw/sths,masculine,,gnw/stou
bi/wsis,feminine,,biw/sews
e)kte/neia,feminine,,e)ktenei/as
lampro/ths,feminine,3,lampro/thtos
*)iou/lios,masculine,,*)iouli/ou
pe/lagos,neuter,,pela/gous
*mu/ra,neuter,2,*mu/rwn
*kni/dos,feminine,,*kni/dou
*salmw/nh,feminine,,*salmw/nhs
*limh/n,masculine,,*lime/nos
nau/klhros,masculine,,nauklh/rou
paraxeimasi/a,feminine,,paraxeimasi/as
*foi=nic,masculine,,*foi/nikos
li/y,masculine,,libo/s
xw=ros,masculine,,xw/rou
nhsi/on,neuter,,nhsi/ou
*kau=da,neuter,3,*kau=da
*su/rtis,feminine,,*su/rtews
e)kbolh/,feminine,,e)kbolh=s
skeuh/,feminine,,skeuh=s
*)adri/as,masculine,,*)adri/ou
o)rguia/,feminine,,o)rguia/s
a)/gkura,feminine,,a)gku/ras
zeukthri/a,feminine,,zeukthri/as
a)rte/mwn,masculine,,a)rte/mwnos
sani/s,feminine,,sani/dos
filanqrwpi/a,feminine,,filanqrwpi/as
pura/,feminine,,pura/s
fru/ganon,neuter,,fruga/nou
dusente/rion,neuter,,dusenteri/ou
*dio/skouroi,masculine,2,*dioskourw=n
*sura/kousai,feminine,1,*surakousw=n
*(rh/gion,neuter,,*(rhgi/ou
*poti/oloi,masculine,2,*potiolw=n
*tabe/rnh,feminine,,*tabe/rnhs
qa/rsos,neuter,,qa/rsous
mi/sqwma,neuter,3,misqw/matos
kwmo/polis,feminine,,kwmopo/lews
*(hrw|dianoi/,masculine,2,*(hrw|dianw=n
*boanhrge/s,masculine,,*boanhrge/s
*qaddai=os,masculine,,*qaddai/ou
*kananai=os,masculine,,*kananai/ou
ku=ma,neuter,3,ku/matos
proskefa/laion,neuter,,proskefalai/ou
katoi/khsis,feminine,,katoikh/sews
legiw/n,masculine,,legiw/nos
taliqa,feminine,3,
gene/sia,neuter,2,genesiw=n
spekoula/twr,masculine,,spekoula/toros
sumpo/sion,neuter,,sumposi/ou
prasia/,feminine,,prasia=s
*bhqsai+da/n,feminine,,*bhqsai+da/n
fa/ntasma,neuter,3,
pugmh/,feminine,,pugmh=s
baptismo/s,masculine,,baptismou=
ce/sths,masculine,,ce/stou
xalki/on,neuter,,xalki/ou
e)/ntalma,neuter,3,e)nta/lmatos
a)fedrw/n,masculine,,a)fedrw/nos
moixei/a,feminine,,moixei/as
kuna/rion,neuter,,kunari/ou
yixi/on,neuter,2,yixi/ou
i)xqu/dion,neuter,,i)xqudi/ou
o)/mma,neuter,,o)/mmatos
a)nta/llagma,neuter,3,a)ntalla/gmatos
sklhrokardi/a,feminine,,sklhrokardi/as
stiba/s,feminine,3,stiba/dos
u(polh/nion,neuter,,u(polhni/ou
o(lokau/twma,neuter,3,o(lokautw/matos
kodra/nths,masculine,,kodra/ntou
yeudo/xristos,masculine,,yeudoxri/stou
a)la/bastros,feminine,,a)laba/strou
tru/blion,neuter,,trubli/ou
*geqshmani/,neuter,,*geqshmani/
su/sshmon,neuter,,sussh/mou
proau/lion,neuter,,proauli/ou
stasiasth/s,masculine,,stasiastou=
e)lwi/+,masculine,,e)lwi/+
prosa/bbaton,neuter,2,prosabba/tou
sunhlikiw/ths,masculine,,sunhlikiw/tou
yeuda/delfos,masculine,,yeudae/lfou
u(potagh/,feminine,,u(potagh=s
*gala/ths,masculine,,*gala/tou
stoixei=on,neuter,,stoixei/ou
sti/gma,neuter,3,sti/gmatos
a)rrabw/n,masculine,,a)rrabw=na
meso/toixon,neuter,,mesotoi/xou
sumpoli/ths,masculine,,sumpoli/tou
e(no/ths,feminine,3,e(no/thtos
katartismo/s,masculine,,katartismou=
kubei/a,feminine,,kubei/as
meqodei/a,feminine,,meqodei/as
au)/chsis,feminine,,au)ch/sews
parorgismo/s,masculine,,parorgismou=
ai)sxro/ths,feminine,3,
u(/mnos,masculine,,u(/mnou
spi/los,masculine,,spi/lou
r(uti/s,feminine,,r(uti/dos
o)fqalmodouli/a,feminine,,o)fqalmodouli/as
kosmokra/twr,masculine,,kosmokra/toros
be/los,neuter,,be/lous
proskarte/rhsis,feminine,,proskarterh/sews
a)/noicis,feminine,,a)noi/cews
katalalia/,feminine,,katalalia=s
i(era/teuma,neuter,3,i(erateu/matos
kakopoio/s,masculine,,kokopoiou=
a)gaqopoio/s,masculine,,a)gaqopoiou=
e)pika/lumma,neuter,3,e)pikalu/mmatos
a)delfo/ths,feminine,3,a)delfo/thtos
u(pogrammo/s,masculine,,u(pogrammou=
pto/hsis,feminine,,ptoh/sews
e)perw/thma,neuter,3,
e)/nnoia,feminine,,e)nnoi/as
oi)noflugi/a,feminine,,oi)noflugi/as
po/tos,masculine,,po/tou
a)na/xusis,feminine,,a)naxu/sews
kti/sths,masculine,,kti/stou
a)gaqopoii/+a,feminine,,a)gaqopoii/+as
u(po/mnhsis,feminine,,u(pomnh/sews
ma/mmh,feminine,,ma/mmhs
*lwi/+s,feminine,,*lwi/+dos
*eu)ni/kh,feminine,,*eu)ni/khs
paraqh/kh,feminine,,paraqh/khs
u(potu/pwsis,feminine,,u(potupw/sews
katastrofh/,feminine,,katastrofh=s
kenofwni/a,feminine,,kenofwni/as
gunaika/rion,neuter,,gunaikari/ou
a)gwgh/,feminine,,a)gwgh=s
go/hs,masculine,3,go/htos
e)pano/rqwsis,feminine,,e)panorqw/sews
mu=qos,masculine,,mu/qou
*dalmati/a,feminine,,*dalmati/as
failo/nhs,masculine,,failo/nou
*ka/rpos,masculine,,*ka/rpou
membra/na,feminine,,membra/nas
plh/kths,masculine,,plh/ktou
frenapa/ths,masculine,,frenapa/tou
presbu=tis,feminine,,presbu/tidos
kata/sthma,neuter,3,katasth/matos
a)fqori/a,feminine,,a)fqori/as
genealogi/a,feminine,,genealogi/as
*)artema=s,masculine,3,*)artema=
*niko/polis,feminine,,*nikopo/lews
*zhna=s,masculine,3,*zhna=
oi)khth/rion,neuter,,oi)khthri/ou
dei=gma,neuter,3,dei/gmatos
spila/s,feminine,3,spila/dos
goggusth/s,masculine,,goggustou=
e)mpai/kths,masculine,,e)mpai/ktou
xri=sma,neuter,3,xri/smatos
kuri/a,feminine,,kuri/as
e)kzh/thsis,feminine,,e)kzhth/sews
mataiologi/a,feminine,,mataiologi/as
patrolw/|as,masculine,,patrolw/|ou
mhtrolw/|as,masculine,,mhtrolw/|ou
a)ndrofo/nos,masculine,,a)ndrofo/nou
a)ndrapodisth/s,masculine,,a)ndrapodistou=
diw/kths,masculine,,diw/ktou
a)nti/lutron,neuter,,a)ntilu/trou
katastolh/,feminine,,katastolh=s
ple/gma,neuter,3,ple/gmatos
qeose/beia,feminine,,qeosebei/as
*eu(/a,feminine,,*eu(/as
baqmo/s,masculine,,baqmou=
e(drai/wma,neuter,3,
meta/lhmyis,feminine,,metalh/myews
a)moibh/,feminine,,a)moibh=s
pro/sklisis,feminine,,prokli/sews
sto/maxos,masculine,,stoma/xou
logomaxi/a,feminine,,logomaxi/as
u(po/noia,feminine,,u(ponoi/as
diaparatribh/,feminine,,diaparatribh=s
diatrofh/,feminine,,diatrofh=s
ske/pasma,neuter,3,skepa/smatos
prau+paqi/a,feminine,,paru+paqi/as
a)dhlo/ths,feminine,3,a)dhlo/thtos
a)po/lausis,feminine,,a)polau/sews
a)nti/qesis,feminine,,a)ntiqe/sews
*za/ra,masculine,3,*za/ra
*)ara/m,masculine,,*)ara/m
*salmw/n,masculine,,*salmw/n
*bo/es,masculine,,*bo/es
*)iwbh/d,masculine,,*)iwbh/d
*(roboa/m,masculine,,*(roboa/m
*)asa/f,masculine,,*)asa/f
*)iwsafa/t,masculine,,*)iwsafa/t
*)iwra/m,masculine,,*)iwra/m
*)iwaqa/m,masculine,,*)iwaqa/m
*)axa/z,masculine,,*)axa/z
*)abiou/d,masculine,,*)abiou/d
*)azw/r,masculine,,*)azw/r
*sadw/k,masculine,,*sadw/k
*)axi/m,masculine,,*)axi/m
*)eliou/d,masculine,,*)eliou/d
*)elea/zar,masculine,,*)elea/zar
*matqa/n,masculine,,*matqa/n
o)/nar,neuter,,o)/nar
*)emmanouh/l,masculine,,*)emmanouh/l
*(ieroso/luma,feminine,2,*(ierosolu/mwn
*(rama/,feminine,3,*(rama/
a)mfi/blhstron,neuter,,a)mfiblh/strou
i)w=ta,neuter,3,
r(aka/,masculine,,r(aka/
mi/lion,neuter,,mili/ou
polulogi/a,feminine,,polulogi/as
tri/bolos,masculine,,tribo/lou
dai/mwn,masculine,,daimo/nos
oi)kiako/s,masculine,,oi)kiakou=
biasth/s,masculine,,biastou=
ziza/nion,neuter,,zizani/ou
qeristh/s,masculine,,qeristou=
de/smh,feminine,,de/smhs
sagh/nh,feminine,,sagh/nhs
a)/ggos,neuter,,a)/ggous
yeudomarturi/a,feminine,,yeudomarturi/as
*bariwna=,masculine,3,*bariwna=
o)ligopisti/a,feminine,,o)ligopisti/as
di/draxmon,neuter,,didra/xmou
a)/gkistron,neuter,,a)gki/strou
stath/r,masculine,,stath/ros
da/neion,neuter,,danei/ou
basanisth/s,masculine,,basanistou=
e)mpori/a,feminine,,e)mpori/as
die/codos,feminine,,dieco/dou
no/misma,neuter,3,nomi/smatos
fulakth/rion,neuter,,fulakthri/ou
kaqhghth/s,masculine,,kaqhghtou=
a)/nhqon,neuter,,a)nh/qou
ku/minon,neuter,,kumi/nou
kw/nwy,masculine,,kw/nwpos
nossi/on,neuter,,nossi/ou
trapezi/ths,masculine,,trapezi/tou
e)ri/fion,neuter,,e)rifi/ou
dei=na,masculine,3,dei=nos
korbana=s,masculine,3,korbana=
xlamu/s,feminine,,xlamu/dos
h)li/,masculine,,h)li/
e)/gersis,feminine,,e)ge/rsews
tou)/noma,neuter,,
e)pa/ggelma,neuter,3,e)pagge/lmatos
e)po/pths,masculine,,e)po/ptou
yeudodida/skalos,masculine,,yeudodidaska/lou
ble/mma,neuter,3,ble/mmatos
tolmhth/s,masculine,,tolmhtou=
mw=mos,masculine,,mw/mou
e)/legcis,feminine,,e)le/gcews
parafroni/a,feminine,,parafroni/as
mi/asma,neuter,3,mias/matos
e)ce/rama,neuter,3,e)cera/matos
kulismo/s,masculine,,kulismou=
e)mpaigmonh/,feminine,,e)mpaigmonh=s
bradu/ths,feminine,3,bradu/thtos
a)pau/gasma,neuter,3,
misqapodosi/a,feminine,,misqapodosi/as
parapikrasmo/s,masculine,,parapikrasmou=
kw=lon,neuter,,kw/lou
a(rmo/s,masculine,,a(rmou=
o(moio/ths,feminine,3,o(moio/thtos
ai)sqhth/rion,neuter,,ai)sqhthri/ou
bota/nh,feminine,,bota/nhs
a)kroqi/nion,neuter,,a)kroqini/ou
e)/pos,neuter,,e)/pous
a)qe/thsis,feminine,,a)qe/sews
qumiath/rion,neuter,,qumiathri/ou
pla/c,feminine,,pla/kos
*xerou=b,neuter,,*xerou=b
a)gno/hma,neuter,3,a)gnoh/matos
kaqaro/ths,feminine,3,kaqaro/thtos
kefali/s,feminine,,kefali/dos
a)/qlhsis,feminine,,a)qlh/sews
dia/tagma,neuter,3,diata/gmatos
pro/sxusis,feminine,,prosxu/sews
pei=ra,feminine,,pei/ras
kata/skopos,masculine,,katasko/pou
e)mpaigmo/s,masculine,,e)mpaigmou=
mhlwth/,feminine,,mhlwth=s
de/rma,neuter,3,de/rmatos
ne/fos,neuter,,ne/fous
o)/gkos,masculine,,o)/gkou
teleiwth/s,masculine,,teleiwtou=
prwtoto/kia,neuter,,prwtotoki/as
qu/ella,feminine,,que/llhs
panh/guris,feminine,,panhgu/rews
*kolossai/,feminine,1,*kolossw=n
a)reskei/a,feminine,,a)reskei/as
piqanologi/a,feminine,,piqanologi/as
stere/wma,neuter,3,sterew/matos
a)pe/kdusis,feminine,,a)pekdu/sews
xeiro/grafon,neuter,,xeirogra/fou
a)po/xrhsis,feminine,,a)poxrh/sews
e)qeloqrhski/a,feminine,,e)qeloqrhski/as
a)feidi/a,feminine,,a)feidi/as
ai)sxrologi/a,feminine,,ai)sxrologi/as
momfh/,feminine,,momfh=s
a)ntapo/dosis,feminine,,a)ntapodo/sews
a)neyio/s,masculine,2,
parhgori/a,feminine,1,
*(iera/polis,feminine,,(*ierapo/lews
*nu/mfa,feminine,,*nu/mfas
*laodikeu/s,masculine,,*laodike/ws
a)po/krima,neuter,3,a)pokri/matos
e)lafri/a,feminine,,e)lafri/as
i(kano/ths,feminine,3,
ka/lumma,neuter,3,kalu/mmatos
fwtismo/s,masculine,,fwtismou=
proskoph/,feminine,,proskoph=s
a)grupni/a,feminine,,a)grupni/as
*belia/r,masculine,,*belia/r
e)pipo/qhsis,feminine,,e)pipoqh/sews
a)gana/kthsis,feminine,,a)ganakth/sews
a(dro/ths,feminine,3,a(dro/thtos
do/ths,masculine,,do/tou
kaqai/resis,feminine,,kaqaire/sews
o)xu/rwma,neuter,3,o)xurw/matos
yeudapo/stolos,masculine,,yeudaposto/lou
nuxqh/meron,neuter,,nuxqhme/rou
di/yos,neuter,,di/yous
*(are/tas,masculine,3,
sarga/nh,feminine,,sarga/nhs
yiqurismo/s,masculine,,yiqurismou=
fusi/wsis,feminine,,fusiw/sews
kata/rtisis,feminine,,katarti/sews
*qua/teira,neuter,,
xalkoli/banon,neuter,2,xalkoliba/nou
*(armagedw/n,neuter,3,
tou)nanti/on,neuter,,
i(lasth/rion,neuter,,i(lasthri/ou
