parsing_atom_head,parsing_atom_dependent,position
no/mon_N----ASM,to/n_D----ASM,before
no/mos_N----NSM,o(_D----NSM,before
nou=s_N----NSM,o(_D----NSM,before
nu/c_N----NSF,h(_D----NSF,before
o(do/n_N----ASF,th/n_D----ASF,before
oi)ki/an_N----ASF,th/n_D----ASF,before
oi)=kon_N----ASM,to/n_D----ASM,before
oi)=kos_N----NSM,o(_D----NSM,before
o)/noma_N----ASN,to/_D----ASN,before
o)no/mati_N----DSN,tw=|_D----DSN,before
o)/sfrhsis_N----NSF,h(_D----NSF,before
o)fqalmoi/_N----NPM,oi(_D----NPM,before
o)fqalmo/s_N----NSM,o(_D----NSM,before
o)fqalmou/s_N----APM,tou/s_D----APM,before
o)/xloi_N----NPM,oi(_D----NPM,before
o)/xlos_N----NSM,o(_D----NSM,before
paidi/on_N----NSN,to/_D----NSN,before
parabolh/n_N----ASF,th/n_D----ASF,before
parqe/nos_N----NSF,h(_D----NSF,before
pate/ra_N----ASM,to/n_D----ASM,before
path/r_N----NSM,o(_D----NSM,before
patro/s_N----GSM,tou=_D----GSM,before
peismonh/_N----NSF,h(_D----NSF,before
*pila=tos_N----NSM,o(_D----NSM,immediately_before
pi/stei_N----DSF,th=|_D----DSF,before
pi/stews_N----GSF,th=s_D----GSF,before
pi/stis_N----NSF,h(_D----NSF,before
ploi=on_N----ASN,to/_D----ASN,before
pneu/mati_N----DSN,tw=|_D----DSN,before
pneu/matos_N----GSN,tou=_D----GSN,before
po/lin_N----ASF,th/n_D----ASF,before
pro/bata_N----APN,ta/_D----APN,before
profh=tai_N----NPM,oi(_D----NPM,before
profh/tais_N----DPM,toi=s_D----DPM,before
profh/ths_N----NSM,o(_D----NSM,before
sa/bbasi(n)_N----DPN,toi=s_D----DPN,before
*samarei/as_N----GSF,th=s_D----GSF,immediately_before
ska/ndalon_N----NSN,to/_D----NSN,before
staurou=_N----GSM,tou=_D----GSM,before
sto/matos_N----GSN,tou=_D----GSN,before
stratiw=tai_N----NPM,oi(_D----NPM,before
sunedri/w|_N----DSN,tw=|_D----DSN,before
sw=ma_N----ASN,to/_D----ASN,before
sw/matos_N----GSN,tou=_D----GSN,before
te/ktonos_N----GSM,tou=_D----GSM,before
te/los_N----NSN,to/_D----NSN,before
telw=nai_N----NPM,oi(_D----NPM,before
to/pw|_N----DSM,tw=|_D----DSM,before
ui(o/n_N----ASM,to/n_D----ASM,before
ui(o/s_N----NSM,o(_D----NSM,before
u(phre/tai_N----NPM,oi(_D----NPM,before
*farisai/wn_N----GPM,tw=n_D----GPM,before
filadelfi/a_N----NSF,h(_D----NSF,before
*fi/lippos_N----NSM,o(_D----NSM,immediately_before
fu/rama_N----ASN,to/_D----ASN,before
fw=s_N----NSN,to/_D----NSN,before
xara/_N----NSF,h(_D----NSF,before
xa/ris_N----NSF,h(_D----NSF,before
xari/smata_N----APN,ta/_D----APN,before
xei/r_N----NSF,h(_D----NSF,before
xei=ras_N----APF,ta/s_D----APF,before
xeiri/_N----DSF,th=|_D----DSF,before
xh/ras_N----APF,ta/s_D----APF,before
xrhmatismo/s_N----NSM,o(_D----NSM,before
*xristo/s_N----NSM,o(_D----NSM,immediately_before
*xristou=_N----GSM,tou=_D----GSM,immediately_before
yuxh/n_N----ASF,th/n_D----ASF,before
ywmi/on_N----ASN,to/_D----ASN,before
w(/ra_N----NSF,h(_D----NSF,before
w(/ras_N----GSF,th=s_D----GSF,before
a)po/_P-------,oi(_D----NPM,before
e)k_P-------,tou/s_D----APM,before
e)n_P-------,toi=s_D----DPM,before
e)/cw_B-------,tou/s_D----APM,before
kata/_P-------,ta/_D----APN,before
meta/_P-------,oi(_D----NPM,before
toiou/tous_M----APM,tou/s_D----APM,before
a)nakei/menos_V-PMPNSM,o(_D----NSM,before
a)nastatou=ntes_V-PAPNPM,oi(_D----NPM,before
bdelusso/menos_V-PMPNSM,o(_D----NSM,before
dikaiw=n_V-PAPNSM,o(_D----NSM,before
diw/kontas_V-PAPAPM,tou/s_D----APM,before
duna/menos_V-PMPNSM,o(_D----NSM,before
e)leh/mones_A----NPM,oi(_D----NPM,before
e)mpesei=n_V-AAN---,to/_D----NSN,before
e)mpeplhsme/noi_V-RPPNPM,oi(_D----NPM,before
e)rxo/menos_V-PMPNSM,o(_D----NSM,before
e)/xwn_V-PAPNSM,o(_D----NSM,before
kalou=ntos_V-PAPGSM,tou=_D----GSM,before
kalw=n_V-PAPNSM,o(_D----NSM,before
katakrinw=n_V-PAPNSM,o(_D----NSM,before
khru/sswn_V-PAPNSM,o(_D----NSM,before
klai/ontes_V-PAPNPM,oi(_D----NPM,before
koimhqe/ntes_V-APPNPM,oi(_D----NPM,before
kri/nwn_V-PAPNSM,o(_D----NSM,before
lalw=n_V-PAPNSM,o(_D----NSM,before
le/gwn_V-PAPNSM,o(_D----NSM,before
marturw=n_V-PAPNSM,o(_D----NSM,before
mei=nai_V-AAN---,tou=_D----GSN,before
paradidou/s_V-PAPNSM,o(_D----NSM,before
peinw=ntes_V-PAPNPM,oi(_D----NPM,before
penqou=ntes_V-PAPNPM,oi(_D----NPM,before
planw/ntwn_V-PAPGPM,tw=n_D----GPM,before
poih/sasan_V-AAPASF,th/n_D----ASF,before
spei/rantos_V-AAPGSM,tou=_D----GSM,before
spei/rwn_V-PAPNSM,o(_D----NSM,before
sunestaurwme/noi_V-RPPNPM,oi(_D----NPM,before
u(pa/gein_V-PAN---,tw=|_D----DSN,before
u(pomei/nas_V-AAPNSM,o(_D----NSM,before
filou=ntas_V-PAPAPM,tou/s_D----APM,before
