parsing_atom_head,parsing_atom_dependent,position
goggu/zete_V2PAM-P-,mhde/_C-------,immediately_before
de/dwke(n)_V3RAI-S-,ou)_B-------,before
dw=men_V1AAS-P-,mh/_B-------,immediately_before
e)/dwkas_V2AAI-S-,ou)_B-------,immediately_before
e)/dwke(n)_V3AAI-S-,ou)_B-------,immediately_before
diermhneu/ousi(n)_V3PAI-P-,mh/_B-------,before
e)di/wcan_V3AAI-P-,ou)_B-------,immediately_before
du/nasqe_V2PMI-P-,ou)_B-------,immediately_before
du/nasqe_V2PMI-P-,ou)de/_B-------,before
du/namai_V1PMI-S-,ou)_B-------,immediately_before
duna/meqa_V1PMI-P-,ou)_B-------,before
du/nasai_V2PMI-S-,ou)_B-------,immediately_before
du/natai_V3PMI-S-,mh/_B-------,immediately_before
du/natai_V3PMI-S-,mh/ti_L-------,immediately_before
du/nh|_V2PMI-S-,ou)_B-------,before
e)du/nasqe_V2IMI-P-,ou)/pw_B-------,before
h)dunh/qhsan_V3API-P-,ou)_B-------,immediately_before
ei)/a_V3IAI-S-,ou)_B-------,immediately_before
e)gei/retai_V3PPI-S-,ou)_B-------,immediately_before
e)gei/rontai_V3PPI-P-,ou)_B-------,immediately_before
e)gkakh/shte_V2AAS-P-,mh/_B-------,immediately_before
e)gkakw=men_V1PAS-P-,mh/_B-------,immediately_before
h)/|dei_V3LAI-S-,ou)_B-------,before
h)/|deite_V2LAI-P-,ou)_B-------,immediately_before
oi)=da_V1RAI-S-,ou)_B-------,immediately_before
oi)/damen_V1RAI-P-,ou)_B-------,immediately_before
oi)=das_V2RAI-S-,ou)_B-------,immediately_before
oi)/dasi(n)_V3RAI-P-,ou)_B-------,before
oi)/date_V2RAI-P-,ou)_B-------,immediately_before
ei)=_V2PAI-S-,mh/_B-------,before
ei)=_V2PAI-S-,ou)ke/ti_B-------,immediately_before
ei)=_V2PAI-S-,ou)xi/_L-------,before
ei)mi/_V1PAI-S-,mh/ti_L-------,before
ei)mi/_V1PAI-S-,ou)_B-------,immediately_before
ei)si/(n)_V3PAI-P-,ou)_B-------,immediately_before
ei)si/(n)_V3PAI-P-,ou)xi/_L-------,before
e)sme/n_V1PAI-P-,mh/_B-------,before
e)sme/n_V1PAI-P-,ou)_B-------,immediately_before
e)/stai_V3FMI-S-,ou)_B-------,immediately_before
e)ste/_V2PAI-P-,mh/ti_L-------,before
e)ste/_V2PAI-P-,ou)_B-------,before
e)ste/_V2PAI-P-,ou)xi/_B-------,before
e)sti/(n)_V3PAI-S-,mh/_B-------,before
e)sti/(n)_V3PAI-S-,mh/ti_L-------,before
e)sti/(n)_V3PAI-S-,ou)_B-------,before
e)sti/(n)_V3PAI-S-,ou)xi/_L-------,before
h)/mhn_V1IMI-S-,ou)_B-------,before
h)=n_V3IAI-S-,ou)_B-------,immediately_before
ei)seleu/sesqai_V-FMN---,mh/_B-------,immediately_before
ei)selqei=n_V-AAN---,mh/_B-------,immediately_before
ei)se/lqh|s_V2AAS-S-,mhde/_B-------,before
ei)se/lqhte_V2AAS-P-,mh/_B-------,immediately_before
e)celeca/mhn_V1AMI-S-,ou)_B-------,before
e)kluo/menoi_V-PPPNPM,mh/_B-------,immediately_before
e)kpeira/seis_V2FAI-S-,ou)_B-------,immediately_before
e)mpesou=ntai_V3FMI-P-,ou)xi/_L-------,before
e)ne/xesqe_V2PPM-P-,mh/_B-------,before
e)/cesti(n)_V3PAI-S-,ou)_B-------,immediately_before
e)ce/lqh|s_V2AAS-S-,mh/_B-------,immediately_before
e)ce/lqh|s_V2AAS-S-,ou)_B-------,before
e)celqo/ntes_V-AAPNPM,ou)_B-------,before
e)painw=_V1PAI-S-,ou)_B-------,immediately_before
e)paisxu/netai_V3PMI-S-,ou)_B-------,immediately_before
e)pide/xetai_V3PMI-S-,ou)_B-------,immediately_before
e)pidw/sei_V3FAI-S-,mh/_B-------,before
e)pilamba/netai_V3PMI-S-,ou)_B-------,before
e)pilanqa/nesqe_V2PMM-P-,mh/_B-------,immediately_before
e)pispa/sqw_V3PMM-S-,mh/_B-------,immediately_before
e)pita/ch|_V3AAS-S-,mh/_B-------,immediately_before
