parsing_atom_head,parsing_atom_dependent,position
a)nagagei=n_V-AAN---,*xristo/n_N----ASM,before
a)nexw/rhse(n)_V3AAI-S-,e)kei=qen_B-------,after
a)ne/comai_V1FMI-S-,u(mw=n_E----GP-,after
a)nqe/sthke(n)_V3RAI-S-,boulh/mati_N----DSN,before
a)nastatou=ntes_V-PAPNPM,u(ma=s_E----AP-,after
h)/noice(n)_V3AAI-S-,o)fqalmou/s_N----APM,after
a)ntita/ssetai_V3PMI-S-,u(mi=n_E----DP-,after
a)ph/lase(n)_V3AAI-S-,au)tou/s_E----APM,after
a)ph=lqe(n)_V3AAI-S-,a)po/_P-------,after
a)pekalu/fqh_V3API-S-,ti/ni_I----DSM,before
a)pekri/qh_V3API-S-,au)th=|_E----DSF,after
a)pekri/qh_V3API-S-,au)toi=s_E----DPM,after
a)pekri/qh_V3API-S-,ge/grafa_V1RAI-S-,after
a)pekri/qh_V3API-S-,lo/gon_N----ASM,after
a)pekri/qh_V3API-S-,pisteu/ete_V2PAI-P-,after
a)pekri/qh_V3API-S-,ou)/_L-------,after
a)pekri/qhn_V1API-S-,ei)=_V2PAI-S-,after
a)pekri/qhsan_V3API-P-,au)tw=|_E----DSM,after
a)pekri/qhsan_V3API-P-,*)ihsou=n_N----ASM,after
a)pekri/qhsan_V3API-P-,ou)/_L-------,after
a)pokri/qhte_V2APM-P-,moi_E----DS-,after
a)poktei=nai_V-AAN---,me_E----AS-,before
a)pologou/meqa_V1PMI-P-,u(mi=n_E----DP-,before
a)pe/luse(n)_V3AAI-S-,au)tou/s_E----APM,after
a)pe/luse(n)_V3AAI-S-,e)kklhsi/an_N----ASF,after
a)pole/sai_V-AAN---,h(ma=s_E----AP-,after
a)re/skein_V-PAN---,a)nqrw/pois_N----DPM,before
a)rxo/meqa_V1PMI-P-,sunista/nein_V-PAN---,after
h)/rcanto_V3AMI-P-,eu)frai/nesqai_V-PPN---,after
h)/rcanto_V3AMI-P-,paraitei=sqai_V-PMN---,after
a)spa/zou_V2PMM-S-,fi/lous_A----APM,after
a)/spasai_V2AMM-S-,filou=ntas_V-PAPAPM,after
a)spa/sasqe_V2AMM-P-,a(/gion_A----ASM,after
a)spa/sasqe_V2AMM-P-,a)llh/lous_E----APM,after
a)spa/sasqe_V2AMM-P-,*)apellh=n_N----ASM,after
a)spa/sasqe_V2AMM-P-,e)k_P-------,after
a)spa/sasqe_V2AMM-P-,*(hrw|di/wna_N----ASM,after
a)spa/zontai_V3PMI-P-,se_E----AS-,after
a)spa/zontai_V3PMI-P-,u(ma=s_E----AP-,after
h)tima/sate_V2AAI-P-,ptwxo/n_A----ASM,after
a)fe/ntes_V-AAPNPM,au)to/n_E----ASM,after
a)fi/hsi(n)_V3PAI-S-,au)to/n_E----ASM,after
basani/sai_V-AAN---,h(ma=s_E----AP-,after
bdelusso/menos_V-PMPNSM,ei)/dwla_N----APN,after
ble/pete_V2PAM-P-,a)kou/ete_V2PAI-P-,after
ble/pete_V2PAI-P-,kata/_P-------,before
bo/ske_V2PAM-S-,a)rni/a_N----APN,after
ge/gona_V1RAI-S-,e)xqro/s_A----NSM,before
genome/nhs_V-AMPGSF,o)yi/as_A----GSF,before
gi/nesqe_V2PMM-P-,dou=loi_N----NPM,after
gi/nesqe_V2PMM-P-,mimhtai/_N----NPM,before
gi/nesqe_V2PMM-P-,fro/nimoi_A----NPM,after
gine/sqw_V3PMM-S-,e)n_P-------,before
e)ge/neto_V3AMI-S-,qa/natos_N----NSM,after
e)ge/neto_V3AMI-S-,su/mboulos_N----NSM,before
ginw/skeis_V2PAI-S-,*(ellhnisti/_B-------,before
ginw/skeis_V2PAI-S-,me_E----AS-,before
gnwsqh/tw_V3APM-S-,a)nqrw/pois_N----DPM,after
e)/gnw_V3AAI-S-,nou=n_N----ASM,after
ge/grafa_V1RAI-S-,ge/grafa_V1RAI-S-,before
ge/grafa_V1RAI-S-,o(/_R----ASN,before
dei=_V3PAI-S-,au)ca/nein_V-PAN---,after
de/desai_V2RPI-S-,gunaiki/_N----DSF,after
diakri/nei_V3PAI-S-,se_E----AS-,before
diarpa/sei_V3FAI-S-,oi)ki/an_N----ASF,before
diafe/rei_V3PAI-S-,proba/tou_N----GSN,after
di/daske_V2PAM-S-,tau=ta_M----APN,before
de/dwke(n)_V3RAI-S-,no/mon_N----ASM,after
de/dwke(n)_V3RAI-S-,u(mi=n_E----DP-,after
dih/rxeto_V3IMI-S-,*)ierixw/_N----ASF,after
dii+sxuri/zeto_V3IMI-S-,e)/xein_V-PAN---,after
dokei=_V3PAI-S-,u(mi=n_E----DP-,before
dokei=te_V2PAI-P-,o(/ti_C-------,after
do/cason_V2AAM-S-,o)/noma_N----ASN,after
douleu/ein_V-PAN---,kai/_C-------,after
duna/menos_V-PMPNSM,xwrei=n_V-PAN---,after
du/nasqe_V2PMI-P-,douleu/ein_V-PAN---,after
du/natai_V3PMI-S-,sw=sai_V-AAN---,after
ei)do/tes_V-RAPNPM,o(/ti_C-------,after
oi)=da_V1RAI-S-,o(/ti_C-------,after
oi)/damen_V1RAI-P-,lalei=_V3PAI-S-,after
