lemma,gender,distant_determiner
o(moi/wma,neuter,n
po/lemos,masculine,n
xruso/s,masculine,n
o)dou/s,masculine,n
qw/rac,masculine,n
a(/rma,neuter,n
ou)ra/,feminine,n
ke/ntron,neuter,n
*)abaddw/n,masculine,n
*)apollu/wn,masculine,n
ou)ai/,feminine,n
*eu)fra/ths,masculine,n
e)niauto/s,masculine,n
stra/teuma,neuter,n
dismuria/s,feminine,n
qei=on,neuter,n
plhgh/,feminine,n
o)/fis,masculine,n
daimo/nion,neuter,n
ei)/dwlon,neuter,n
fo/nos,masculine,n
fa/rmakon,neuter,n
kle/mma,neuter,n
biblari/dion,neuter,n
profh/ths,masculine,n
koili/a,feminine,n
me/li,neuter,n
ka/lamos,masculine,n
au)lh/,feminine,n
e)lai/a,feminine,n
u(eto/s,masculine,n
ptw=ma,neuter,n
*so/doma,neuter,n
*ai)/guptos,feminine,n
mnh=ma,neuter,n
dw=ron,neuter,n
fo/bos,masculine,n
ko/smos,masculine,n
misqo/s,masculine,n
kibwto/s,feminine,n
diaqh/kh,feminine,y
shmei=on,neuter,n
gasth/r,feminine,n
dra/kwn,masculine,n
dia/dhma,neuter,n
*mixah/l,masculine,n
kath/gwr,masculine,n
qumo/s,masculine,n
spe/rma,neuter,n
e)ntolh/,feminine,y
a)/mmos,feminine,n
pa/rdalis,feminine,n
a)/rkos,feminine,n
skhnh/,feminine,n
katabolh/,feminine,n
ai)xmalwsi/a,feminine,n
ei)kw/n,feminine,n
xa/ragma,neuter,n
nou=s,masculine,n
*siw/n,feminine,n
kiqarw|do/s,masculine,n
parqe/nos,masculine,n
a)parxh/,feminine,n
yeu=dos,neuter,n
eu)agge/lion,neuter,n
kri/sis,feminine,y
*babulw/n,feminine,n
poth/rion,neuter,n
dre/panon,neuter,n
qerismo/s,masculine,n
bo/trus,masculine,n
a)/mpelos,feminine,n
stafulh/,feminine,n
lhno/s,feminine,n
xalino/s,masculine,n
sta/dios,masculine,n
*mwu+sh=s,masculine,n
o(do/s,feminine,n
dikai/wma,neuter,n
martu/rion,neuter,n
li/non,neuter,n
sth=qos,neuter,n
e(/lkos,neuter,n
po/nos,masculine,n
yeudoprofh/ths,masculine,n
ba/traxos,masculine,n
a)sxhmosu/nh,feminine,n
*(armagedw/n,neuter,n
me/ros,neuter,n
kri/ma,neuter,n
po/rnh,feminine,n
margari/ths,masculine,n
bde/lugma,neuter,n
mh/thr,feminine,n
qau=ma,neuter,n
a)pw/leia,feminine,n
gnw/mh,feminine,n
sa/rc,feminine,n
katoikhth/rion,neuter,n
o)/rneon,neuter,n
e)/mporos,masculine,n
strh=nos,neuter,n
a)di/khma,neuter,n
pe/nqos,neuter,n
basi/lissa,feminine,n
xh/ra,feminine,y
pu/rwsis,feminine,n
go/mos,masculine,n
a)/rguros,masculine,n
porfu/ra,feminine,n
xalko/s,masculine,n
si/dhros,masculine,n
ma/rmaros,masculine,n
kinna/mwmon,neuter,n
a)/mwmon,neuter,n
mu/ron,neuter,n
li/banos,masculine,n
semi/dalis,feminine,n
kth=nos,neuter,n
pro/baton,neuter,n
r(e/dh,feminine,n
sw=ma,neuter,n
o)pw/ra,feminine,n
e)piqumi/a,feminine,n
kubernh/ths,masculine,n
nau/ths,masculine,n
xou=s,masculine,n
timio/ths,feminine,n
o(/rmhma,neuter,n
au)lhth/s,masculine,n
salpisth/s,masculine,n
texni/ths,masculine,n
te/xnh,feminine,n
mu/los,masculine,n
fw=s,neuter,n
lu/xnos,masculine,n
numfi/os,masculine,n
nu/mfh,feminine,n
farmakei/a,feminine,n
ga/mos,masculine,n
dei=pnon,neuter,n
dikaiosu/nh,feminine,n
mhro/s,masculine,n
li/mnh,feminine,n
a(/lusis,feminine,n
e)/tos,neuter,y
a)na/stasis,feminine,n
*gw/g,masculine,n
*magw/g,masculine,n
pla/tos,neuter,n
parembolh/,feminine,n
a)nh/r,masculine,n
kraugh/,feminine,n
foneu/s,masculine,n
po/rnos,masculine,n
fa/rmakos,masculine,n
ei)dwlola/trhs,masculine,n
fwsth/r,masculine,n
tei=xos,neuter,n
pulw/n,masculine,n
borra=s,masculine,n
no/tos,masculine,n
dusmh/,feminine,n
qeme/lios,masculine,n
me/tron,neuter,n
mh=kos,neuter,n
u(/yos,neuter,n
ph=xus,masculine,n
e)ndw/mhsis,feminine,n
u(/alos,masculine,n
sa/pfiros,feminine,n
xalkhdw/n,masculine,n
sma/ragdos,masculine,n
sardo/nuc,masculine,n
xruso/liqos,masculine,n
bh/rullos,masculine,n
topa/zion,neuter,n
xruso/prasos,masculine,n
u(a/kinqos,masculine,n
a)me/qustos,feminine,n
karpo/s,masculine,n
fu/llon,neuter,n
qerapei/a,feminine,n
kata/qema,neuter,n
ku/wn,masculine,n
ge/nos,neuter,n
dih/ghsis,feminine,n
pra=gma,neuter,n
au)to/pths,masculine,n
u(phre/ths,masculine,n
*qeo/filos,masculine,n
a)sfa/leia,feminine,n
*(hrw/|dhs,masculine,n
*)ioudai/a,feminine,n
*zaxari/as,masculine,n
e)fhmeri/a,feminine,n
*)abia/,masculine,n
quga/thr,feminine,n
*)aarw/n,masculine,n
*)elisa/bet,feminine,n
ta/cis,feminine,n
e)/qos,neuter,n
i(eratei/a,feminine,n
plh=qos,neuter,n
de/hsis,feminine,n
xara/,feminine,n
a)galli/asis,feminine,n
ge/nesis,feminine,n
si/kera,neuter,n
*)hli/as,masculine,n
fro/nhsis,feminine,n
presbu/ths,masculine,n
*gabrih/l,masculine,n
o)ptasi/a,feminine,n
leitourgi/a,feminine,n
oi)=kos,masculine,y
o)/neidos,neuter,n
*galilai/a,feminine,n
*nazare/q,feminine,n
parqe/nos,feminine,n
*maria/m,feminine,n
a)spasmo/s,masculine,n
*)iakw/b,masculine,n
suggeni/s,feminine,n
gh=ras,neuter,n
r(h=ma,neuter,n
dou/lh,feminine,n
spoudh/,feminine,n
*mari/a,feminine,n
bre/fos,neuter,n
telei/wsis,feminine,n
swth/r,masculine,n
tapei/nwsis,feminine,n
genea/,feminine,n
e)/leos,neuter,n
braxi/wn,masculine,n
dia/noia,feminine,n
duna/sths,masculine,n
pai=s,masculine,n
*)abraa/m,masculine,y
paidi/on,neuter,n
sugge/neia,feminine,n
pinaki/dion,neuter,n
lu/trwsis,feminine,n
o(/rkos,masculine,n
o(sio/ths,feminine,n
gnw=sis,feminine,n
a)/fesis,feminine,n
