lemma,gender,distant_determiner
peritomh/,feminine,n
th/rhsis,feminine,n
lu/sis,feminine,n
sxh=ma,neuter,n
bro/xos,masculine,n
brw=sis,feminine,n
sunh/qeia,feminine,n
sunei/dhsis,feminine,n
pro/skomma,neuter,n
ei)dwlei=on,neuter,n
kre/as,neuter,n
a)postolh/,feminine,n
a)pologi/a,feminine,y
*barnaba=s,masculine,n
e)lpi/s,feminine,n
e)gkoph/,feminine,n
sta/dion,neuter,n
brabei=on,neuter,n
po/ma,neuter,n
tu/pos,masculine,n
e)piqumhth/s,masculine,n
o)loqreuth/s,masculine,n
nouqesi/a,feminine,n
e)/kbasis,feminine,n
ei)dwlolatri/a,feminine,n
ma/kellon,neuter,n
plh/rwma,neuter,n
e)leuqeri/a,feminine,n
para/dosis,feminine,n
fu/sis,feminine,n
a)timi/a,feminine,n
ko/mh,feminine,n
peribo/laion,neuter,n
ai(/resis,feminine,n
diai/resis,feminine,n
e)ne/rghma,neuter,n
fane/rwsis,feminine,n
i)/ama,neuter,n
dia/krisis,feminine,n
e(rmhnei/a,feminine,n
o)/sfrhsis,feminine,n
eu)sxhmosu/nh,feminine,n
a)nti/lhmyis,feminine,n
kube/rnhsis,feminine,n
u(perbolh/,feminine,n
ku/mbalon,neuter,n
e)/soptron,neuter,n
ai)/nigma,neuter,n
paramuqi/a,feminine,n
au)lo/s,masculine,n
diastolh/,feminine,n
fqo/ggos,masculine,n
zhlwth/s,masculine,n
i)diw/ths,masculine,n
frh/n,feminine,n
xei=los,neuter,n
diermhneuth/s,masculine,n
e)/ktrwma,neuter,n
yeudo/martus,masculine,n
ta/gma,neuter,n
parousi/a,feminine,n
kau/xhsis,feminine,n
o)/felos,neuter,n
h)=qos,neuter,n
o(mili/a,feminine,n
a)gnwsi/a,feminine,n
fqora/,feminine,n
a)fqarsi/a,feminine,n
r(iph/,feminine,n
a)qanasi/a,feminine,n
ni=kos,neuter,n
logei/a,feminine,n
*galati/a,feminine,n
*makedoni/a,feminine,n
pa/rodos,feminine,n
penthkosth/,feminine,n
*)axai/+a,feminine,n
*fortouna=tos,masculine,n
*)axai+ko/s,masculine,n
*)aku/las,masculine,n
*pri/ska,feminine,n
mara/na,masculine,n
diaspora/,feminine,n
doki/mion,neuter,n
a)/nqos,neuter,n
eu)pre/peia,feminine,n
do/sis,feminine,n
dw/rhma,neuter,n
parallagh/,feminine,n
troph/,feminine,n
a)poski/asma,neuter,n
r(upari/a,feminine,n
perissei/a,feminine,n
poihth/s,masculine,n
a)kroath/s,masculine,n
e)pilhsmonh/,feminine,n
poi/hsis,feminine,n
qrhskei/a,feminine,n
proswpolhmyi/a,feminine,n
paraba/ths,masculine,n
*(raa/b,feminine,n
phda/lion,neuter,n
o(rmh/,feminine,n
u(/lh,feminine,n
troxo/s,masculine,n
e(rpeto/n,neuter,n
i)o/s,masculine,n
o(moi/wsis,feminine,n
kata/ra,feminine,n
o)ph/,feminine,n
a)nastrofh/,feminine,y
e)riqei/a,feminine,n
ma/xh,feminine,n
fili/a,feminine,n
fqo/nos,masculine,n
ge/lws,masculine,n
kath/feia,feminine,n
nomoqe/ths,masculine,n
a)tmi/s,feminine,n
a)lazonei/a,feminine,n
talaipwri/a,feminine,n
boh/,feminine,n
*sabaw/q,masculine,n
sfagh/,feminine,n
u(po/deigma,neuter,n
kakopaqi/a,feminine,n
makroqumi/a,feminine,n
*)iw/b,masculine,n
eu)xh/,feminine,n
pla/nh,feminine,n
*silouano/s,masculine,n
*qessalonikeu/s,masculine,n
mnei/a,feminine,n
e)klogh/,feminine,n
plhrofori/a,feminine,n
ei)/sodos,feminine,n
*fi/lippoi,masculine,n
a)gw/n,masculine,n
a)kaqarsi/a,feminine,n
do/los,masculine,n
kolakei/a,feminine,n
trofo/s,feminine,n
mo/xqos,masculine,n
sumfule/ths,masculine,n
*)aqh=nai,feminine,n
a(giwsu/nh,feminine,n
paraggeli/a,feminine,n
pa/qos,neuter,n
filadelfi/a,feminine,n
ke/leusma,neuter,n
a)rxa/ggelos,masculine,n
a)pa/nthsis,feminine,n
w)di/n,feminine,n
perikefalai/a,feminine,n
peripoi/hsis,feminine,n
a)mno/s,masculine,n
r(abbi/,masculine,n
*messi/as,masculine,n
*naqanah/l,masculine,n
*nazare/t,feminine,n
*)israhli/ths,masculine,n
*kana/,feminine,n
u(dri/a,feminine,n
metrhth/s,masculine,n
a)rxitri/klinos,masculine,n
kermatisth/s,masculine,n
frage/llion,neuter,n
sxoini/on,neuter,n
kollubisth/s,masculine,n
ke/rma,neuter,n
e)mpo/rion,neuter,n
*niko/dhmos,masculine,n
ge/rwn,masculine,n
*ai)nw/n,feminine,n
*salei/m,neuter,n
zh/thsis,feminine,n
*suxa/r,feminine,n
xwri/on,neuter,n
o(doipori/a,feminine,n
*samari=tis,feminine,n
dwrea/,feminine,y
a)/ntlhma,neuter,n
qre/mma,neuter,n
proskunhth/s,masculine,n
lalia/,feminine,n
te/ras,neuter,n
kolumbh/qra,feminine,n
*bhqesda/,feminine,n
stoa/,feminine,n
kra/battos,masculine,n
*tiberia/s,feminine,n
paida/rion,neuter,n
o)ya/rion,neuter,n
ploia/rion,neuter,n
po/sis,feminine,n
skhnophgi/a,feminine,n
parrhsi/a,feminine,n
goggusmo/s,masculine,n
*(ierosolumi/ths,masculine,n
a)nqrwpokto/nos,masculine,n
yeu/sths,masculine,n
geneth/,feminine,n
phlo/s,masculine,n
ptu/sma,neuter,n
prosai/ths,masculine,n
qurwro/s,masculine,n
paroimi/a,feminine,n
nomh/,feminine,n
e)gkai/nia,neuter,n
xeimw/n,masculine,n
koi/mhsis,feminine,n
*di/dumos,masculine,n
summaqhth/s,masculine,n
keiri/a,feminine,n
*)efrai/m,masculine,n
li/tra,feminine,n
na/rdos,feminine,n
o)smh/,feminine,n
glwsso/komon,neuter,n
e)ntafiasmo/s,masculine,n
ba/i+on,neuter,n
u(pa/nthsis,feminine,n
o)na/rion,neuter,n
o)/nos,feminine,n
le/ntion,neuter,n
nipth/r,masculine,n
pte/rna,feminine,n
ywmi/on,neuter,n
tekni/on,neuter,n
monh/,feminine,n
para/klhtos,masculine,n
klh=ma,neuter,n
latrei/a,feminine,n
xei/marros,masculine,n
*kedrw/n,masculine,n
spei=ra,feminine,n
fano/s,masculine,n
o(/plon,neuter,n
w)ta/rion,neuter,n
*ma/lxos,masculine,n
qh/kh,feminine,n
penqero/s,masculine,n
qurwro/s,feminine,n
a)nqrakia/,feminine,n
yu=xos,neuter,n
r(a/pisma,neuter,n
praitw/rion,neuter,n
kathgori/a,feminine,n
bh=ma,neuter,n
*gabbaqa,neuter,n
*golgoqa=,feminine,n
ti/tlos,masculine,n
*klwpa=s,masculine,n
spo/ggos,masculine,n
u(/sswpos,feminine,n
ske/los,neuter,n
lo/gxh,feminine,n
pleura/,feminine,n
mi/gma,neuter,n
smu/rna,feminine,n
a)lo/h,feminine,n
khpouro/s,masculine,n
rabbouni,masculine,n
h(=los,masculine,n
prwi/+a,feminine,n
ai)gialo/s,masculine,n
prosfa/gion,neuter,n
e)pendu/ths,masculine,n
u(pakoh/,feminine,n
*(rw/mh,feminine,n
a)se/beia,feminine,n
poi/hma,neuter,n
qeio/ths,feminine,n
xrh=sis,feminine,n
o)/recis,feminine,n
a)ntimisqi/a,feminine,n
e)pi/gnwsis,feminine,n
kakoh/qeia,feminine,n
yiquristh/s,masculine,n
u(bristh/s,masculine,n
a)lazw/n,masculine,n
e)feureth/s,masculine,n
xrhsto/ths,feminine,n
a)noxh/,feminine,n
sklhro/ths,feminine,n
dikaiokrisi/a,feminine,n
stenoxwri/a,feminine,n
logismo/s,masculine,n
o(dhgo/s,masculine,n
paideuth/s,masculine,n
mo/rfwsis,feminine,n
para/basis,feminine,n
w)fe/leia,feminine,n
lo/gion,neuter,n
a)pisti/a,feminine,n
yeu=sma,neuter,n
ta/fos,masculine,n
la/rugc,masculine,n
a)spi/s,feminine,n
a)ra/,feminine,n
pikri/a,feminine,n
su/ntrimma,neuter,n
i(lasth/rion,neuter,n
e)/ndeicis,feminine,n
pa/resis,feminine,n
propa/twr,masculine,n
o)fei/lhma,neuter,n
makarismo/s,masculine,n
a)nomi/a,feminine,n
i)/xnos,neuter,y
ne/krwsis,feminine,n
*sa/rra,feminine,n
para/ptwma,neuter,n
dikai/wsis,feminine,n
prosagwgh/,feminine,n
dokimh/,feminine,n
katallagh/,feminine,n
kata/krima,neuter,n
parakoh/,feminine,n
kaino/ths,feminine,n
pa/qhma,neuter,n
palaio/ths,feminine,n
a)formh/,feminine,n
fro/nhma,neuter,n
doulei/a,feminine,n
ui(oqesi/a,feminine,n
abba,masculine,n
a)pokaradoki/a,feminine,n
mataio/ths,feminine,n
stenagmo/s,masculine,n
diwgmo/s,masculine,n
ki/ndunos,masculine,n
u(/ywma,neuter,n
o)du/nh,feminine,n
nomoqesi/a,feminine,n
*(rebe/kka,feminine,n
*)hsau=,masculine,n
*faraw/,masculine,n
bou/lhma,neuter,y
pla/sma,neuter,n
kerameu/s,masculine,n
*(wshe/,masculine,n
u(po/leimma,neuter,n
*go/morra,feminine,n
xrhmatismo/s,masculine,n
*ba/al,feminine,n
*ba/al,masculine,n
lei=mma,neuter,n
kata/nucis,feminine,n
qh/ra,feminine,n
nw=tos,masculine,n
a)pobolh/,feminine,n
pro/slhmyis,feminine,n
a)grie/laios,feminine,n
pio/ths,feminine,n
a)potomi/a,feminine,n
kallie/laios,feminine,n
pw/rwsis,feminine,n
a)pei/qeia,feminine,n
su/mboulos,masculine,n
oi)ktirmo/s,masculine,n
a)nakai/nwsis,feminine,n
a)nalogi/a,feminine,n
didaskali/a,feminine,y
a(plo/ths,feminine,n
i(laro/ths,feminine,n
filoceni/a,feminine,n
a)/nqrac,masculine,n
diatagh/,feminine,n
leitourgo/s,masculine,n
kw=mos,masculine,n
a)se/lgeia,feminine,n
pro/noia,feminine,n
a)sqe/nhma,neuter,n
o)neidismo/s,masculine,n
a)gaqwsu/nh,feminine,n
prosfora/,feminine,n
*)illuriko/n,neuter,n
kli/ma,neuter,n
e)pipoqi/a,feminine,n
*spani/a,feminine,n
*foi/bh,feminine,n
dia/konos,feminine,n
*kegxreai/,feminine,n
prosta/tis,feminine,n
*)epai/netos,masculine,n
*)andro/nikos,masculine,n
*)iouni/a,feminine,n
sunaixma/lwtos,masculine,n
*)amplia=tos,masculine,n
*ou)rbano/s,masculine,n
*sta/xus,masculine,n
*)apellh=s,masculine,n
*)aristo/boulos,masculine,n
*(hrw|di/wn,masculine,n
*na/rkissos,masculine,n
*tru/faina,feminine,n
*trufw=sa,feminine,n
*persi/s,feminine,n
*(rou=fos,masculine,n
*)asu/gkritos,masculine,n
*fle/gwn,masculine,n
*(ermh=s,masculine,n
*patroba=s,masculine,n
*(erma=s,masculine,n
*filo/logos,masculine,n
*)iouli/a,feminine,n
*nhreu/s,masculine,n
*)olumpa=s,masculine,n
dixostasi/a,feminine,n
xrhstologi/a,feminine,n
*lou/kios,masculine,n
*)ia/swn,masculine,n
*swsi/patros,masculine,n
*te/rtios,masculine,n
*)/erastos,masculine,n
*kou/artos,masculine,n
e)/ndeigma,neuter,n
a)/nesis,feminine,n
di/kh,feminine,n
e)pisunagwgh/,feminine,n
a)postasi/a,feminine,n
se/basma,neuter,n
e)pifa/neia,feminine,n
e)ne/rgeia,feminine,n
a)pa/th,feminine,n
h(suxi/a,feminine,n
e)pi/skopos,masculine,n
bebai/wsis,feminine,n
ai)/sqhsis,feminine,n
prokoph/,feminine,n
e)pixorhgi/a,feminine,n
ke/rdos,neuter,n
paramu/qion,neuter,n
kenodoci/a,feminine,n
tapeinofrosu/nh,feminine,n
morfh/,feminine,n
a(rpagmo/s,masculine,n
a)pousi/a,feminine,n
*)epafro/ditos,masculine,n
sustratiw/ths,masculine,n
katatomh/,feminine,n
pepoi/qhsis,feminine,n
*(ebrai=os,masculine,n
zh=los,neuter,n
zhmi/a,feminine,n
sku/balon,neuter,n
e)cana/stasis,feminine,n
skopo/s,masculine,n
summimhth/s,masculine,n
poli/teuma,neuter,n
*eu)odi/a,feminine,n
*suntu/xh,feminine,n
*klh/mhs,masculine,n
no/hma,neuter,n
a)reth/,feminine,n
u(ste/rhsis,feminine,n
*filipph/sios,masculine,n
lh=myis,feminine,n
*qessaloni/kh,feminine,n
eu)wdi/a,feminine,n
plou=tos,neuter,n
de/smios,masculine,n
*filh/mwn,masculine,n
*)apfi/a,feminine,n
*)/arxippos,masculine,n
*)onh/simos,masculine,n
ceni/a,feminine,n
*)epafra=s,masculine,n
*ma=rkos,masculine,n
*)ari/starxos,masculine,n
*dhma=s,masculine,n
*louka=s,masculine,n
tekmh/rion,neuter,n
e)laiw/n,masculine,n
u(perw=|on,neuter,n
dia/lektos,feminine,y
*(akeldama/x,neuter,n
e)/paulis,feminine,n
*barsabba=s,masculine,n
*)iou=stos,masculine,n
*maqqi/as,masculine,n
kardiognw/sths,masculine,n
pnoh/,feminine,n
*pa/rqos,masculine,n
*mh=dos,masculine,n
*)elami/ths,masculine,n
*mesopotami/a,feminine,n
*kappadoki/a,feminine,n
*po/ntos,masculine,n
*frugi/a,feminine,n
*pamfuli/a,feminine,n
*libu/h,feminine,n
*kurh/nh,feminine,n
prosh/lutos,masculine,n
*krh/s,masculine,n
*)/aray,masculine,n
gleu=kos,neuter,n
*)iwh/l,masculine,n
e)nu/pnion,neuter,n
pro/gnwsis,feminine,n
diafqora/,feminine,n
eu)frosu/nh,feminine,n
patria/rxhs,masculine,n
kth=ma,neuter,n
u(/parcis,feminine,n
a)felo/ths,feminine,n
ba/sis,feminine,n
sfudro/n,neuter,n
*solomw=n,masculine,n
eu)se/beia,feminine,n
a)rxhgo/s,masculine,n
o(loklhri/a,feminine,n
a)/gnoia,feminine,n
a)na/yucis,feminine,n
a)pokata/stasis,feminine,n
*samouh/l,masculine,n
*)ale/candros,masculine,n
eu)ergesi/a,feminine,n
oi)kodo/mos,masculine,n
a)peilh/,feminine,n
kth/twr,masculine,n
*ku/prios,masculine,n
*(anani/as,masculine,n
*sa/pfira,feminine,n
dia/sthma,neuter,n
*stoa/,feminine,n
klina/rion,neuter,n
gerousi/a,feminine,n
desmwth/rion,neuter,n
fu/lac,masculine,n
bi/a,feminine,n
*gamalih/l,masculine,n
*qeuda=s,masculine,n
*(ellhnisth/s,masculine,n
*ste/fanos,masculine,n
*pro/xoros,masculine,n
*nika/nwr,masculine,n
*ti/mwn,masculine,n
*parmena=s,masculine,n
*niko/laos,masculine,n
*)antioxeu/s,masculine,n
*liberti=nos,masculine,n
*)alecandreu/s,masculine,n
*kiliki/a,feminine,n
*xarra/n,feminine,n
*xaldai=os,masculine,n
kata/sxesis,feminine,n
*xana/an,feminine,n
xo/rtasma,neuter,n
siti/on,neuter,n
*suxe/m,feminine,n
*(emmw/r,masculine,n
dikasth/s,masculine,n
*madia/m,masculine,n
*sina=,neuter,n
o(/rama,neuter,n
ka/kwsis,feminine,n
lutrwth/s,masculine,n
*qa/lassa,feminine,n
sfa/gion,neuter,n
*molo/x,masculine,n
*(raifa/n,masculine,n
skh/nwma,neuter,n
kata/pausis,feminine,n
e)/leusis,feminine,n
neani/as,masculine,n
*sau=los,masculine,n
a)nai/resis,feminine,n
kopeto/s,masculine,n
magei/a,feminine,n
e)pi/qesis,feminine,n
e)pi/noia,feminine,n
xolh/,feminine,n
su/ndesmos,masculine,n
meshmbri/a,feminine,n
*ga/za,feminine,n
*ai)qi/oy,masculine,n
eu)nou=xos,masculine,n
*kanda/kh,feminine,n
ga/za,feminine,n
perioxh/,feminine,n
*)/azwtos,feminine,n
*kaisa/reia,feminine,n
*damasko/s,feminine,n
*saou/l,masculine,n
*tarseu/s,masculine,n
lepi/s,feminine,n
e)piboulh/,feminine,n
spuri/s,feminine,n
*tarso/s,feminine,n
*lu/dda,feminine,n
*ai)ne/as,masculine,n
*sarw/n,masculine,n
*)io/pph,feminine,n
maqh/tria,feminine,n
*tabiqa/,feminine,n
*dorka/s,feminine,n
burseu/s,masculine,n
*kornh/lios,masculine,n
mnhmo/sunon,neuter,n
o)qo/nh,feminine,n
proswpolh/mpths,masculine,n
*foini/kh,feminine,n
*ku/pros,feminine,n
*)antio/xeia,feminine,n
*xristiano/s,masculine,n
*(/agabos,masculine,n
*klau/dios,masculine,n
tetra/dion,neuter,n
oi)/khma,neuter,n
sanda/lion,neuter,n
*(ro/dh,feminine,n
ta/raxos,masculine,n
*tu/rios,masculine,n
*bla/stos,masculine,n
koitw/n,masculine,n
dh=mos,masculine,n
*ni/ger,masculine,n
*manah/n,masculine,n
*seleu/keia,feminine,n
*salami/s,feminine,n
*pa/fos,feminine,n
ma/gos,masculine,n
*barihsou=s,masculine,n
a)nqu/patos,masculine,n
*se/rgios,masculine,n
*)elu/mas,masculine,n
r(a|diourgi/a,feminine,n
a)xlu/s,feminine,n
xeiragwgo/s,masculine,n
*pe/rgh,feminine,n
a)na/gnwsis,feminine,n
paroiki/a,feminine,n
*ki/s,masculine,n
dro/mos,masculine,n
katafronhth/s,masculine,n
o(/rion,neuter,n
*)iko/nion,neuter,n
*lukaoni/a,feminine,n
*lu/stra,feminine,n
*de/rbh,feminine,n
*lu/stra,neuter,n
*zeu/s,masculine,n
tau=ros,masculine,n
ste/mma,neuter,n
*pisidi/a,feminine,n
*)atta/leia,feminine,n
zh/thma,neuter,n
e)pistrofh/,feminine,n
a)li/sghma,neuter,n
*sila=s,masculine,n
parocusmo/s,masculine,n
*musi/a,feminine,n
*biquni/a,feminine,n
*trw|a/s,feminine,n
*makedw/n,masculine,n
*samoqra/|kh,feminine,n
*po/lis,feminine,n
kolwni/a,feminine,n
*ludi/a,feminine,n
porfuro/pwlis,feminine,n
pu/qwn,masculine,n
desmofu/lac,masculine,n
qeme/lion,neuter,n
r(abdou=xos,masculine,n
*)amfi/polis,feminine,n
*)apollwni/a,feminine,n
polita/rxhs,masculine,n
*be/roia,feminine,n
proqumi/a,feminine,n
*(ellhni/s,feminine,n
*)epikou/reios,masculine,n
filo/sofos,masculine,n
kataggeleu/s,masculine,n
*pa/gos,masculine,n
bwmo/s,masculine,n
o(roqesi/a,feminine,n
katoiki/a,feminine,n
e)nqu/mhsis,feminine,n
*dionu/sios,masculine,n
*)areopagi/ths,masculine,n
*da/maris,feminine,n
*)itali/a,feminine,n
*pri/skilla,feminine,n
skhnopoio/s,masculine,n
*ti/tios,masculine,n
*kori/nqios,masculine,n
*galli/wn,masculine,n
r(a|diou/rghma,neuter,n
sxolh/,feminine,n
*tu/rannos,masculine,n
xrw/s,masculine,n
simiki/nqion,neuter,n
e)corkisth/s,masculine,n
*skeua=s,masculine,n
*dhmh/trios,masculine,n
a)rguroko/pos,masculine,n
*)/artemis,feminine,n
eu)pori/a,feminine,n
a)pelegmo/s,masculine,n
qea/,feminine,n
su/gxusis,feminine,n
sune/kdhmos,masculine,n
*)asia/rxhs,masculine,n
newko/ros,masculine,n
qeo/s,feminine,n
sustrofh/,feminine,n
qo/rubos,masculine,n
*(ella/s,feminine,n
*sw/patros,masculine,n
*pu/rros,masculine,n
*sekou=ndos,masculine,n
*)asiano/s,masculine,n
*tuxiko/s,masculine,n
*tro/fimos,masculine,n
*eu)/tuxos,masculine,n
quri/s,feminine,n
tri/stegon,neuter,n
au)gh/,feminine,n
*)=assos,feminine,n
*mitulh/nh,feminine,n
*xi/os,feminine,n
*sa/mos,feminine,n
*mi/lhtos,feminine,n
a)/ficis,feminine,n
trieti/a,feminine,n
*kw/s,feminine,n
*(ro/dos,feminine,n
*pa/tara,neuter,n
plou=s,masculine,n
*ptolemai/+s,feminine,n
eu)aggelisth/s,masculine,n
*mna/swn,masculine,n
e)kplh/rwsis,feminine,n
a(gnismo/s,masculine,n
sundromh/,feminine,n
fa/sis,feminine,n
a)nabaqmo/s,masculine,n
sika/rios,masculine,n
a)kri/beia,feminine,n
e)/dafos,neuter,n
kefa/laion,neuter,n
politei/a,feminine,n
toi=xos,masculine,n
sunwmosi/a,feminine,n
e)ne/dra,feminine,n
i(ppeu/s,masculine,n
deciola/bos,masculine,n
*fh=lic,masculine,n
*lusi/as,masculine,n
e)/gklhma,neuter,n
kath/goros,masculine,n
*)antipatri/s,feminine,n
e)parxei/a,feminine,n
r(h/twr,masculine,n
*te/rtullos,masculine,n
dio/rqwma,neuter,n
e)piei/keia,feminine,n
prwtosta/ths,masculine,n
e)pi/stasis,feminine,n
*drou/silla,feminine,n
e)gkra/teia,feminine,n
dieti/a,feminine,n
dia/doxos,masculine,n
*po/rkios,masculine,n
*fh=stos,masculine,n
ai)ti/wma,neuter,n
sumbou/lion,neuter,n
*)agri/ppas,masculine,n
*berni/kh,feminine,n
katadi/kh,feminine,n
a)nabolh/,feminine,n
deisidaimoni/a,feminine,n
dia/gnwsis,feminine,n
fantasi/a,feminine,n
a)kroath/rion,neuter,n
e)coxh/,feminine,n
a)na/krisis,feminine,n
gnw/sths,masculine,n
bi/wsis,feminine,n
dwdeka/fulon,neuter,n
e)kte/neia,feminine,n
e)pitroph/,feminine,n
lampro/ths,feminine,n
e)pikouri/a,feminine,n
mani/a,feminine,n
swfrosu/nh,feminine,n
desmw/ths,masculine,n
*)iou/lios,masculine,n
e)pime/leia,feminine,n
pe/lagos,neuter,n
*mu/ra,neuter,n
*luki/a,feminine,n
*kni/dos,feminine,n
*krh/th,feminine,n
*salmw/nh,feminine,n
*limh/n,masculine,n
*lasai/a,feminine,n
u(/bris,feminine,n
nau/klhros,masculine,n
limh/n,masculine,n
paraxeimasi/a,feminine,n
*foi=nic,masculine,n
li/y,masculine,n
xw=ros,masculine,n
eu)raku/lwn,masculine,n
nhsi/on,neuter,n
*kau=da,neuter,n
ska/fh,feminine,n
boh/qeia,feminine,n
*su/rtis,feminine,n
e)kbolh/,feminine,n
skeuh/,feminine,n
a)siti/a,feminine,n
*)adri/as,masculine,n
o)rguia/,feminine,n
pru/mna,feminine,n
a)/gkura,feminine,n
prw=|ra,feminine,n
zeukthri/a,feminine,n
a)rte/mwn,masculine,n
nau=s,feminine,n
sani/s,feminine,n
*meli/th,feminine,n
filanqrwpi/a,feminine,n
pura/,feminine,n
fru/ganon,neuter,n
qe/rmh,feminine,n
*po/plios,masculine,n
dusente/rion,neuter,n
*dio/skouroi,masculine,n
*sura/kousai,feminine,n
*(rh/gion,neuter,n
*poti/oloi,masculine,n
*)/appios,masculine,n
*fo/ron,neuter,n
*tabe/rnh,feminine,n
qa/rsos,neuter,n
mi/sqwma,neuter,n
kwmo/polis,feminine,n
r(a/kos,neuter,n
*)abiaqa/r,masculine,n
*(hrw|dianoi/,masculine,n
*)idoumai/a,feminine,n
*boanhrge/s,masculine,n
*qaddai=os,masculine,n
*kananai=os,masculine,n
ku=ma,neuter,n
proskefa/laion,neuter,n
katoi/khsis,feminine,n
legiw/n,masculine,n
*deka/polis,feminine,n
quga/trion,neuter,n
taliqa,feminine,n
kora/sion,neuter,n
te/ktwn,masculine,n
*)iwsh=s,masculine,n
gene/sia,neuter,n
spekoula/twr,masculine,n
sumpo/sion,neuter,n
prasia/,feminine,n
*bhqsai+da/n,feminine,n
fa/ntasma,neuter,n
pugmh/,feminine,n
baptismo/s,masculine,n
ce/sths,masculine,n
xalki/on,neuter,n
e)/ntalma,neuter,n
*korba=n,masculine,n
a)fedrw/n,masculine,n
kloph/,feminine,n
moixei/a,feminine,n
u(perhfani/a,feminine,n
a)frosu/nh,feminine,n
*surofoini/kissa,feminine,n
kuna/rion,neuter,n
yixi/on,neuter,n
e)rhmi/a,feminine,n
i)xqu/dion,neuter,n
*dalmanouqa/,feminine,n
o)/mma,neuter,n
a)nta/llagma,neuter,n
gnafeu/s,masculine,n
skw/lhc,masculine,n
a)posta/sion,neuter,n
sklhrokardi/a,feminine,n
trumalia/,feminine,n
r(afi/s,feminine,n
lu/tron,neuter,n
*timai=os,masculine,n
*bartimai=os,masculine,n
a)/mfodon,neuter,n
stiba/s,feminine,n
kaqe/dra,feminine,n
u(polh/nion,neuter,n
kh=nsos,masculine,n
o(lokau/twma,neuter,n
kodra/nths,masculine,n
yeudo/xristos,masculine,n
a)lektorofwni/a,feminine,n
a)la/bastros,feminine,n
tru/blion,neuter,n
*geqshmani/,neuter,n
su/sshmon,neuter,n
proau/lion,neuter,n
stasiasth/s,masculine,n
e)lwi/+,masculine,n
kenturi/wn,masculine,n
*salw/mh,feminine,n
prosa/bbaton,neuter,n
du/sis,feminine,n
*)ioudai+smo/s,masculine,n
sunhlikiw/ths,masculine,n
*)arabi/a,feminine,n
*ti/tos,masculine,n
yeuda/delfos,masculine,n
u(potagh/,feminine,n
tou)nanti/on,neuter,n
*gala/ths,masculine,n
mesi/ths,masculine,n
proqesmi/a,feminine,n
stoixei=on,neuter,n
*(aga/r,feminine,n
peismonh/,feminine,n
kanw/n,masculine,n
sti/gma,neuter,n
a)rrabw/n,masculine,n
me/geqos,neuter,n
kurio/ths,feminine,n
meso/toixon,neuter,n
sumpoli/ths,masculine,n
e(no/ths,feminine,n
katartismo/s,masculine,n
kubei/a,feminine,n
meqodei/a,feminine,n
a(fh/,feminine,n
au)/chsis,feminine,n
parorgismo/s,masculine,n
ai)sxro/ths,feminine,n
mwrologi/a,feminine,n
eu)trapeli/a,feminine,n
a)swti/a,feminine,n
u(/mnos,masculine,n
loutro/n,neuter,n
spi/los,masculine,n
r(uti/s,feminine,n
paidei/a,feminine,n
o)fqalmodouli/a,feminine,n
eu)/noia,feminine,n
pa/lh,feminine,n
kosmokra/twr,masculine,n
e(toimasi/a,feminine,n
qureo/s,masculine,n
be/los,neuter,n
proskarte/rhsis,feminine,n
a)/noicis,feminine,n
r(antismo/s,masculine,n
spora/,feminine,n
katalalia/,feminine,n
i(era/teuma,neuter,n
kakopoio/s,masculine,n
a)gaqopoio/s,masculine,n
e)pika/lumma,neuter,n
a)delfo/ths,feminine,n
kle/os,neuter,n
u(pogrammo/s,masculine,n
mw/lwy,masculine,n
e)mplokh/,feminine,n
peri/qesis,feminine,n
e)/ndusis,feminine,n
pto/hsis,feminine,n
loidori/a,feminine,n
a)po/qesis,feminine,n
r(u/pos,masculine,n
e)perw/thma,neuter,n
e)/nnoia,feminine,n
oi)noflugi/a,feminine,n
po/tos,masculine,n
a)na/xusis,feminine,n
a)llotriepi/skopos,masculine,n
kti/sths,masculine,n
a)gaqopoii/+a,feminine,n
sumpresbu/teros,masculine,n
a)rxipoi/mhn,masculine,n
u(po/mnhsis,feminine,n
ma/mmh,feminine,n
*lwi/+s,feminine,n
*eu)ni/kh,feminine,n
deili/a,feminine,n
swfronismo/s,masculine,n
kh=ruc,masculine,n
paraqh/kh,feminine,n
u(potu/pwsis,feminine,n
*fu/gelos,masculine,n
*(ermoge/nhs,masculine,n
*)onhsi/foros,masculine,n
pragmatei/a,feminine,n
katastrofh/,feminine,n
kenofwni/a,feminine,n
ga/ggraina,feminine,n
*(ume/naios,masculine,n
*fi/lhtos,masculine,n
gunaika/rion,neuter,n
*)ia/nnhs,masculine,n
*)iambrh=s,masculine,n
a)gwgh/,feminine,n
go/hs,masculine,n
e)legmo/s,masculine,n
e)pano/rqwsis,feminine,n
mu=qos,masculine,n
a)na/lusis,feminine,n
*krh/skhs,masculine,n
*dalmati/a,feminine,n
failo/nhs,masculine,n
*ka/rpos,masculine,n
membra/na,feminine,n
xalkeu/s,masculine,n
*eu)/boulos,masculine,n
*pou/dhs,masculine,n
*li/nos,masculine,n
*klaudi/a,feminine,n
plh/kths,masculine,n
frenapa/ths,masculine,n
presbu=tis,feminine,n
kata/sthma,neuter,n
a)fqori/a,feminine,n
semno/ths,feminine,n
paliggenesi/a,feminine,n
genealogi/a,feminine,n
*)artema=s,masculine,n
*niko/polis,feminine,n
*zhna=s,masculine,n
