lemma,declension,fem,neut
o(/de,,h(/de,o(/de
thlikou=tos,,thlikau/th,thlikou=ton
tosou=tos,,tosau/th,tosou=ton
toiou=tos,,,toiou=to
ka)kei=nos,,,ka)kei=non
toio/sde,1/2,toia/de,
