lemma_id,lemma_text,lemma_short_def
174,a)/gkalos,"an armful, bundle"
175,a)gka/s,in
177,a)gkistro/detos,with a hook
179,a)gkistro/omai,to be furnished with barbs
180,a)gkoi/nh,the bent arm
181,a)/gkos,a bend
182,a)gku/lh,a loop
183,a)gku/lion,ancilia
184,a)gkuloglw/xin,with hooked spurs
186,a)gkulomh/ths,"crooked of counsel, wily"
187,a)gkulo/pous,with bent legs
188,a)gku/los,"crooked, curved"
189,a)gkulo/tocos,with curved bow
190,a)gkuloxei/lhs,with hooked beak
191,a)gkuloxh/lhs,with crooked claws
192,a)gkulo/w,"to crook, bend"
193,a)gkulwto/s,furnished with a thong
194,a)/gkura,anchor
196,a)gku/rion,a small anchor
197,a)gkw/n,"the bend of the arm, the elbow"
199,a)glai/a,"splendour, beauty, adornment"
200,a)glai/zw,to make bright
201,a)gla/isma,"an ornament, honour"
202,a)glao/guios,with beauteous limbs
203,a)glao/dendros,with beautiful trees
204,a)glao/dwros,giving splendid gifts
206,a)glao/karpos,bearing beautiful
207,a)glao/morfos,of beauteous form
208,a)glao/s,"splendid, shining, bright, beautiful"
209,a)glaotriai/nhs,god of the bright trident
211,a)/glis,a head of garlic
212,a)/glwssos,without tongue
213,a)=gma,a fragment
214,a)gmo/s,"a broken cliff, crag"
215,a)/gnamptos,"unbending, inflexible"
216,a)/gnafos,uncarded
217,a(gnei/a,"purity, chastity"
218,a(/gneuma,chastity
219,a(gneu/w,"to consider as part of purity, make it a point of religion"
220,a(gni/zw,to cleanse away
221,a(/gnisma,"a purification, expiation"
222,a(gniste/os,to be purified
223,a)gnoe/w,not to perceive
224,a)gno/hma,"a fault of ignorance, error"
225,a)/gnoia,"want of perception, ignorance"
228,a(gno/s,full of religious awe
229,a(gno/ths,"purity, chastity"
230,a)/gnumi,"to break, shiver"
231,a)gnwmone/w,"to act without right feeling, act unfairly"
232,a)gnwmosu/nh,"want of sense, folly"
234,a)gnwsi/a,ignorance
235,a)gnw/s,unknown
236,a)/gnwstos,unknown
237,a)goni/a,unfruitfulness
238,a)/gonos,unborn
239,a)/goos,unmourned
240,a)gora/zw,to be in the a)gora/
241,a)gorai=os,"in, of"
242,a)goranomiko/s,of
243,a)gorano/mos,a clerk of the market
244,a)gora/omai,"to meet in assembly, sit in debate"
245,a)gora/,an assembly of the people
246,a)gorasa)ge/neios,will lounge in the
247,a)go/rasma,that which is bought
248,a)gorasth/s,"the slave who bought provisions for the house, the purveyor"
249,a)goreu/w,"to speak in the assembly, harangue, speak"
250,a)gorh=qen,from the Assembly
251,a)gorh/nde,to the Assembly
252,a)gorhth/s,"a speaker, orator"
253,a)gorhtu/s,"the gift of speaking, eloquence"
254,a)gorh=fi,in the Assembly
255,a)go/s,"a leader, chief"
256,a)/gos,any matter of religious awe
257,a)gosto/s,the flat of the hand
258,a)gra/mmatos,without learning
259,a)/graptos,unwritten
260,a)/gra,"a catching, hunting"
261,a)graule/w,to dwell in the field
262,a)/graulos,dwelling in the field
263,a)/grafos,unwritten
264,a)grei=os,of
265,a)greiosu/nh,"clownishness, a rude, vagrant life"
266,a)grei=fna,"a harrow, rake"
267,a)gre/mion,
268,a)/greuma,"that which is taken in hunting, booty, prey, spoil"
269,a)greu/s,a hunter
270,a)greuth/s,a hunter
271,a)greu/w,to take by hunting
272,a)gre/w,"to capture, seize"
273,a)griai/nw,"to be angered, provoked, chafed"
274,a)gria/s,wild
275,a)grie/laios,of a wild olive
276,a)griopoio/s,writing wild poetry
277,a)/grios,living in the fields
278,a)grio/ths,"wildness, savageness"
279,a)grio/fwnos,with wild rough voice
280,a)grio/w,to make wild
282,a)grobo/ths,"feeding in the field, dwelling in the country"
283,a)grogei/twn,a country neighbour
284,a)grodo/ths,a giver of booty
285,a)gro/qen,from the country
286,a)groiki/a,"rusticity, boorishness, coarseness"
287,a)groiki/zomai,to be rude and boorish
288,a)/groikos,of
289,a)groiw/ths,a countryman
290,a)gro/nde,to the country
291,a)gro/nomos,"haunting the country, rural, wild"
292,a)gro/s,"fields, lands"
293,a)gro/teros,wild
294,a)groth/r,rustic
296,a)grofu/lac,a watcher of the country
297,a)grupne/w,"to lie awake, be wakeful"
298,a)grupnhtiko/s,wakeful
299,a)grupni/a,"sleeplessness, waking, watching"
300,a)/grupnos,hunting after sleep
301,a)grw/ssw,to catch
302,a)/grwstis,a grass that mules fed on
303,a)grw/ths,wild
304,a)guia/,"a street, highway"
305,a)guia=tis,of Apollo Agyieus
306,*)aguieu/s,guardian of the streets
307,a)gumnasi/a,want of training
308,a)gu/mnastos,"unexercised, untrained"
309,a)/guris,"a gathering, crowd"
310,a)gurmo/s,
311,a)gurta/zw,to collect by begging
312,a)gu/rths,a collector
313,a)gurtiko/s,fit for an
314,a)gxe/maxos,fighting hand to hand
315,a)gxi/alos,near the sea
316,a)gxibaqh/s,deep near shore
317,a)gxigei/twn,neighbouring
318,a)gxi/qeos,near the gods
319,a)gxi/quros,next door
320,a)gxi/molos,coming near
321,a)gxinefh/s,near the clouds
322,a)gxi/noia,"readiness of mind, ready wit, sagacity"
323,a)gxi/noos,"ready of wit, sagacious, shrewd"
324,a)/gxi,"near, nigh, close by"
325,a)gxi/ploos,near by sea
326,a)gxi/poros,"passing near, always near"
327,a)gxi/ptolis,"near the city, dwelling hard by"
328,a)gxistei/a,nearness of kin
329,a)gxisteu/s,closely akin
330,a)gxisteu/w,to be next or near
331,a)gxisth/r,"one who brings near, the immediate author"
332,a)gxisti=nos,"close together, crowded, in heaps"
333,a)/gxistos,nearest
335,a)gxite/rmwn,"near the borders, neighbouring"
337,a)gxo/qen,from nigh at hand
338,a)gxo/qi,near
339,a)gxo/nh,"a throttling, strangling, hanging"
340,a)gxo/nios,fit for strangling
341,a)gxota/tw,"nearest, next"
342,a)gxo/teros,nearer
343,a)gxou=,"near, nigh"
344,a)/gxouros,neighbouring
345,a)gxw/malos,nearly equal
346,a)/gxw,"to compress, press tight"
347,a)gwgai=os,fit for leading by
348,a)gwgeu/s,one that draws
349,a)gwgh/,"a carrying away, carriage"
350,a)gw/gimos,easy to be led
351,a)gw/gion,the load of a wagon
352,a)gwgo/s,leading
353,a)gwna/rxhs,judge of a contest
354,a)gwni/a,"a contest, struggle for victory"
355,a)gwnia/w,"to contend eagerly, struggle"
356,a)gwni/zomai,to contend for a prize
357,a)gw/nios,of
358,a)gw/nisis,contest for a prize
359,a)gw/nisma,a contest
360,a)gwnismo/s,rivalry
361,a)gwniste/os,one must contend
362,a)gwnisth/s,a rival
363,a)gwnistiko/s,fit for contest
364,a)gwnoqesi/a,the office of
365,a)gwnoqete/w,"to direct the games, exhibit them"
366,a)gwnoqe/ths,"judge of the contests, director of the games"
367,a)gw/n,"a number of people brought together, a gathering, assembly"
368,a)/gw,to lead
369,a)dahmoni/a,ignorance
370,a)dah/mwn,"unknowing, ignorant of"
371,a)dah/s,unknowing how
372,a)da/htos,unknown
373,a)/daitos,of which none might eat
374,a)dakruti/,without tears
375,a)da/krutos,without tears
376,a)dama/ntinos,adamantine
378,a)da/mas,"the untamed, unconquerable"
379,a)da/mastos,inflexible
380,a)da/matos,unconquered
381,a)da/panos,"without expense, costing nothing"
382,a)/dastos,undivided
383,a)deh/s,"without fear, fearless"
384,a)/deia,freedom from fear
385,a)dei/mantos,"fearless, dauntless"
386,a)/deipnos,supperless
387,a)de/kastos,unbribed
389,a)delfh/,a sister
390,a)delfide/os,a brother's
391,a)delfidh=,a brother's
392,a)delfi/dion,
393,a)delfokto/nos,murdering a brother
394,a)delfo/s,sons of the same mother
395,a)delfo/ths,the brotherhood
397,a)derkh/s,"unseen, invisible"
398,a)/derktos,not seeing
399,a)/desmos,"unfettered, unbound"
400,a)de/spotos,without master
401,a)/detos,"unbound, free"
402,a)deukh/s,"not sweet, bitter, cruel"
403,a)de/yhtos,untanned
404,a)de/w,satio
405,a)dh/ios,"unassailed, unravaged"
406,a)/dhktos,"unbitten, not gnawed"
407,a)dhle/w,to be in the dark about
408,a)dhli/a,uncertainty
409,a)/dhlos,not seen
410,a)dhmone/w,to be sorely troubled
411,a)dhmoni/a,"trouble, distress"
412,a(/dhn,satio
413,a)/dhris,without strife
414,a)dh/ritos,without strife
415,*(/a|dhs,Hades
416,a)dhfa/gos,"eating one's fill, gluttonous"
417,a)dh/|wtos,not ravaged
418,a)dia/batos,not to be passed
419,a)dia/blhtos,not listening to slander
420,a)dia/qetos,intestate
421,a)dia/kritos,undecided
422,a)dia/leiptos,"unintermitting, incessant"
423,a)dia/lutos,"undissolved, indissoluble"
424,a)di/antos,unwetted
425,a)di/aulos,with no way back
426,a)dia/fqartos,
427,a)diafqori/a,"incorruption, uprightness"
428,a)dia/fqoros,uncorrupted
429,a)di/daktos,"untaught, ignorant"
430,a)die/codos,unable to get out
431,a)diereu/nhtos,unquestioned
432,a)dih/ghtos,indescribable
433,a)di/kastos,undecided
434,a)dike/w,to do wrong
435,a)di/khma,"a wrong done, a wrong"
436,a)dikhte/os,one must do wrong
441,a)dio/rqwtos,"not corrected, not set right"
442,a)di/staktos,not doubted
443,a)/diyos,not suffering from thirst
444,a)dmh/s,untamed
445,a)/dmhtos,unbroken
446,a)do/khtos,unexpected
447,a)doki/mastos,"untried, unproved"
448,a)do/kimos,"not standing the test, spurious"
449,a)dolesxe/w,"to talk idly, prate"
450,a)dole/sxhs,talking to satiety.
451,a)dolesxi/a,"garrulity, idle talk"
452,a)/dolos,"without fraud, guileless"
453,a)do/nhtos,unshaken
454,a)do/castos,not matter of opinion
