book,chapter,verse,position,new_head_verse,new_head_position
Heb,4,2,5,2,3
Heb,4,2,16,2,14
Heb,5,4,13,4,9
Heb,5,4,15,4,13
Heb,5,7,1,7,25
Heb,5,7,25,5,14
Heb,5,14,12,14,13
Heb,6,9,10,9,7
Heb,7,1,15,1,14
Heb,7,14,11,14,10
Heb,7,14,12,14,11
Heb,7,20,7,20,12
Heb,7,21,16,21,10
Heb,7,23,2,23,5
Heb,7,23,4,23,5
Heb,7,26,17,26,15
Heb,7,28,4,28,6
Heb,7,28,7,28,4
Heb,7,28,10,28,18
Heb,7,28,18,28,5
Heb,7,28,22,28,18
Heb,9,7,1,6,12
Heb,9,7,5,7,1
Heb,9,7,7,7,5
Heb,9,7,10,7,1
Heb,9,9,5,9,10
Heb,9,10,9,9,12
Heb,9,23,15,23,17
Heb,9,23,17,23,11
Heb,10,1,19,1,29
Heb,10,10,2,10,1
Heb,10,10,3,10,2
Heb,10,23,3,23,6
Heb,10,25,12,25,13
Heb,10,29,14,29,17
Heb,10,38,9,38,8
Heb,10,38,10,38,9
Heb,10,38,12,38,9
Heb,10,39,3,39,4
Heb,11,12,19,12,17
Heb,11,12,27,12,19
Heb,11,26,6,26,1
Heb,11,26,8,26,2
Heb,11,38,1,38,4
Heb,12,9,7,9,9
Heb,12,9,13,9,14
Heb,12,9,14,9,15
Heb,12,24,7,24,6
Heb,12,25,16,25,17
Heb,12,25,17,25,18
Heb,13,7,12,7,17
Heb,13,11,1,11,6
Heb,13,11,3,11,4
Heb,13,11,4,11,15
Heb,13,11,18,,
Heb,13,17,25,17,21
Heb,13,21,22,21,1
Heb,13,21,24,21,22
Jas,1,8,1,7,8
Jas,1,8,3,8,1
Jas,1,10,3,10,4
Jas,1,10,4,9,1
Jas,1,13,5,13,3
Jas,1,13,13,13,11
Jas,3,6,6,6,11
Jas,3,6,21,6,10
Jas,3,8,8,8,9
Jas,3,8,9,8,3
Jas,3,12,9,12,10
Jas,3,12,10,12,8
Jas,4,9,14,9,15
Jas,4,9,15,9,12
Jas,5,10,10,10,1
1Pet,1,1,1,1,6
1Pet,1,1,6,,
1Pet,1,10,2,10,1
1Pet,1,10,3,10,2
1Pet,1,12,5,12,8
1Pet,1,12,6,12,5
1Pet,1,17,7,17,3
1Pet,1,18,8,18,2
1Pet,1,19,1,18,8
1Pet,1,23,2,23,3
1Pet,2,7,1,,
1Pet,2,7,4,7,1
1Pet,2,12,2,12,8
1Pet,2,16,11,16,6
1Pet,3,3,1,3,14
1Pet,3,4,5,4,3
1Pet,3,6,7,6,6
1Pet,3,18,8,18,3
1Pet,4,12,11,12,7
1Pet,4,14,11,14,15
1Pet,4,14,15,14,18
1Pet,5,11,1,10,19
1Pet,5,11,3,11,1
1Pet,5,14,6,14,7
1Pet,5,14,7,,
2Pet,1,1,1,1,11
2Pet,1,1,11,,
2Pet,1,1,10,1,9
2Pet,1,18,4,18,9
2Pet,1,19,6,19,3
2Pet,2,5,7,5,8
2Pet,2,5,8,5,11
2Pet,2,7,2,7,3
2Pet,2,7,3,7,12
2Pet,2,13,9,13,4
2Pet,2,14,11,14,12
2Pet,2,14,12,14,14
2Pet,2,20,27,20,25
2Pet,2,21,4,21,1
2Pet,2,22,7,22,6
2Pet,2,22,8,22,7
2Pet,3,5,5,5,3
2Pet,3,5,7,5,10
2Pet,3,5,8,5,6
2Pet,3,5,10,5,8
2Pet,3,5,11,5,10
2Pet,3,7,5,7,12
2Pet,3,15,6,15,7
2Pet,3,18,14,,
2Pet,3,18,16,18,14
1John,1,4,7,4,9
1John,3,2,16,2,15
1John,3,20,13,20,8
1John,3,24,11,24,12
1John,3,24,12,24,10
1John,4,3,20,3,23
1John,4,4,12,4,10
1John,4,4,16,4,11
1John,4,10,20,10,22
1John,4,12,15,12,20
1John,4,13,9,13,10
1John,4,13,10,13,8
1John,4,14,11,14,12
1John,4,15,17,15,18
1John,4,15,18,15,16
1John,5,4,21,4,15
1John,5,6,9,6,1
1John,5,8,3,7,2
1John,5,16,18,16,7
2John,1,1,2,1,4
2John,1,1,4,2,8
2John,1,12,23,12,26
3John,1,4,2,4,1
3John,1,6,14,6,12
3John,1,15,1,15,2
3John,1,15,2,,
Jude,1,1,1,1,17
Jude,1,1,17,,
Jude,1,7,12,7,20
Jude,1,7,13,7,11
Jude,1,11,1,11,2
Jude,1,11,2,,
Jude,1,12,13,12,9
Rev,1,4,10,,
Rev,1,4,11,4,10
Rev,1,6,3,6,4
Rev,1,6,11,,
Rev,1,6,14,6,11
Rev,1,14,10,14,9
Rev,1,14,11,14,10
Rev,1,15,13,15,15
Rev,1,15,15,15,11
Rev,1,16,15,16,10
Rev,1,16,18,16,15
Rev,1,16,21,16,23
Rev,1,16,23,16,19
Rev,2,2,22,2,23
Rev,3,20,27,20,28
Rev,3,20,28,20,26
Rev,4,1,13,1,11
Rev,4,1,18,1,13
Rev,4,1,20,1,19
Rev,5,13,32,13,26
Rev,5,13,37,13,32
Rev,6,14,6,14,5
Rev,6,14,7,14,6
Rev,7,12,5,12,24
Rev,7,12,24,12,2
Rev,7,9,6,9,4
Rev,7,9,22,9,6
Rev,7,9,30,9,6
Rev,7,10,7,10,16
Rev,7,10,16,10,5
Rev,8,13,13,13,17
Rev,8,13,17,13,10
Rev,11,18,14,18,15
Rev,12,1,8,1,2
Rev,12,1,9,1,8
Rev,12,3,10,3,8
Rev,12,3,13,3,10
Rev,12,7,9,7,14
Rev,12,7,14,7,2
Rev,13,2,8,2,7
Rev,13,3,16,3,13
Rev,13,8,10,8,14
Rev,13,12,26,12,29
Rev,13,12,32,12,29
Rev,14,2,22,2,21
Rev,14,2,23,2,22
Rev,15,1,11,1,4
Rev,15,1,13,1,11
Rev,15,2,3,2,2
Rev,15,2,6,2,4
Rev,16,18,23,18,14
Rev,16,18,25,18,23
Rev,17,5,6,5,1
Rev,17,5,7,5,6
Rev,18,14,4,14,8
Rev,19,1,4,1,3
Rev,19,1,12,1,7
Rev,20,8,26,8,5
Rev,21,16,8,16,10
Rev,21,16,10,16,6
Rev,22,2,10,2,6
Rev,22,2,12,2,10
