,book,chapter,verse,position,head,word
150,Matt,11,1,10,διατάσσων,μαθηταῖς
151,Matt,11,4,9,ἀπαγγείλατε,Ἰωάννῃ
152,Matt,11,16,1,ὁμοιώσω,Τίνι
153,Matt,11,16,9,ἐστὶν,παιδίοις
154,Matt,11,16,17,προσφωνοῦντα,ἑτέροις
155,Matt,11,17,3,Ηὐλήσαμεν,ὑμῖν
156,Matt,11,21,10,καὶ,Τύρῳ
157,Matt,11,21,12,καὶ,Σιδῶνι
158,Matt,11,21,23,καὶ,σάκκῳ
159,Matt,11,21,25,καὶ,σποδῷ
160,Matt,11,22,4,καὶ,Τύρῳ
161,Matt,11,22,6,καὶ,Σιδῶνι
162,Matt,11,22,13,ἢ,ὑμῖν
163,Matt,11,24,5,ἔσται,γῇ
164,Matt,11,24,13,ἢ,σοί
165,Matt,11,25,10,Ἐξομολογοῦμαί,σοι
166,Matt,11,25,28,ἀπεκάλυψας,νηπίοις
167,Matt,11,27,2,παρεδόθη,μοι
168,Matt,11,27,27,ἀποκαλύψαι,ᾧ
169,Matt,11,29,17,εἰμι,καρδίᾳ
170,Matt,11,29,22,εὑρήσετε,ψυχαῖς
171,Matt,12,1,9,ἐπορεύθη,σάββασιν
172,Matt,12,4,18,ἐξὸν,αὐτῷ
173,Matt,12,4,21,οὐδὲ,τοῖς
174,Matt,12,5,9,βεβηλοῦσιν,σάββασιν
175,Matt,12,10,14,θεραπεύειν,σάββασιν
176,Matt,12,11,19,ἐμπέσῃ,σάββασιν
177,Matt,12,12,1,διαφέρει,πόσῳ
178,Matt,12,12,9,ποιεῖν,σάββασιν
179,Matt,12,15,9,ἠκολούθησαν,αὐτῷ
180,Matt,12,16,3,ἐπετίμησεν,αὐτοῖς
181,Matt,12,18,25,ἀπαγγελεῖ,ἔθνεσιν
182,Matt,12,21,3,ἐλπιοῦσιν,ὀνόματι
183,Matt,12,22,3,προσηνέχθη,αὐτῷ
184,Matt,12,31,11,ἀφεθήσεται,ἀνθρώποις
185,Matt,12,32,12,ἀφεθήσεται,αὐτῷ
186,Matt,12,32,24,ἀφεθήσεται,αὐτῷ
187,Matt,12,32,32,μέλλοντι,τῷ
188,Matt,12,38,3,ἀπεκρίθησαν,αὐτῷ
189,Matt,12,39,16,δοθήσεται,αὐτῇ
190,Matt,12,46,6,λαλοῦντος,ὄχλοις
191,Matt,12,46,17,λαλῆσαι,αὐτῷ
192,Matt,12,47,16,λαλῆσαι,σοι
193,Matt,13,3,3,ἐλάλησεν,αὐτοῖς
194,Matt,13,4,3,σπείρειν,τῷ
195,Matt,13,10,12,λαλεῖς,αὐτοῖς
196,Matt,13,11,7,δέδοται,ὑμῖν
197,Matt,13,11,16,δέδοται,ἐκείνοις
198,Matt,13,12,5,δοθήσεται,αὐτῷ
199,Matt,13,13,5,λαλῶ,αὐτοῖς
200,Matt,13,14,3,ἀναπληροῦται,αὐτοῖς
201,Matt,13,14,9,ἀκούσετε,Ἀκοῇ
202,Matt,13,15,10,ἤκουσαν,ὠσὶν
203,Matt,13,15,21,ἴδωσιν,ὀφθαλμοῖς
204,Matt,13,15,24,ἀκούσωσιν,ὠσὶν
205,Matt,13,15,28,συνῶσιν,καρδίᾳ
206,Matt,13,24,4,παρέθηκεν,αὐτοῖς
207,Matt,13,24,11,Ὡμοιώθη,ἀνθρώπῳ
208,Matt,13,25,3,καθεύδειν,τῷ
209,Matt,13,28,4,ἔφη,αὐτοῖς
210,Matt,13,31,4,παρέθηκεν,αὐτοῖς
211,Matt,13,31,12,ἐστὶν,κόκκῳ
212,Matt,13,33,4,ἐλάλησεν,αὐτοῖς
213,Matt,13,33,11,ἐστὶν,ζύμῃ
214,Matt,13,34,9,ἐλάλησεν,ὄχλοις
215,Matt,13,34,15,ἐλάλει,αὐτοῖς
216,Matt,13,36,11,προσῆλθον,αὐτῷ
217,Matt,13,36,17,Διασάφησον,ἡμῖν
218,Matt,13,40,7,καίεται,πυρὶ
219,Matt,13,44,7,ἐστὶν,θησαυρῷ
220,Matt,13,45,8,ἐστὶν,ἀνθρώπῳ
221,Matt,13,47,8,ἐστὶν,σαγήνῃ
222,Matt,13,47,9,καὶ,βληθείσῃ
223,Matt,13,47,17,καὶ,συναγαγούσῃ
224,Matt,13,52,11,μαθητευθεὶς,βασιλείᾳ
225,Matt,13,52,16,ἐστιν,ἀνθρώπῳ
226,Matt,13,54,19,καὶ,τούτῳ
227,Matt,14,4,8,ἔξεστίν,σοι
228,Matt,14,6,1,γενομένοις,γενεσίοις
229,Matt,14,6,3,ὠρχήσατο,γενομένοις
230,Matt,14,6,17,ἤρεσεν,Ἡρῴδῃ
231,Matt,14,7,5,δοῦναι,αὐτῇ
232,Matt,14,8,9,Δός,μοι
233,Matt,14,11,11,ἐδόθη,κορασίῳ
234,Matt,14,11,15,ἤνεγκεν,μητρὶ
235,Matt,14,12,16,ἀπήγγειλαν,Ἰησοῦ
236,Matt,14,13,19,ἠκολούθησαν,αὐτῷ
237,Matt,14,15,5,προσῆλθον,αὐτῷ
238,Matt,14,15,27,ἀγοράσωσιν,ἑαυτοῖς
239,Matt,14,16,11,δότε,αὐτοῖς
240,Matt,14,18,5,Φέρετέ,μοι
241,Matt,14,19,26,ἔδωκεν,μαθηταῖς
242,Matt,14,25,3,ἦλθεν,φυλακῇ
243,Matt,14,27,4,ἐλάλησεν,αὐτοῖς
244,Matt,14,28,3,Ἀποκριθεὶς,αὐτῷ
245,Matt,14,33,7,προσεκύνησαν,αὐτῷ
246,Matt,14,35,17,προσήνεγκαν,αὐτῷ
247,Matt,15,1,4,προσέρχονται,Ἰησοῦ
248,Matt,15,4,17,τελευτάτω,θανάτῳ
249,Matt,15,5,8,ἢ,πατρὶ
250,Matt,15,5,11,ἢ,μητρί
251,Matt,15,8,5,τιμᾷ,χείλεσίν
252,Matt,15,15,8,Φράσον,ἡμῖν
253,Matt,15,20,10,φαγεῖν,χερσὶν
254,Matt,15,23,5,ἀπεκρίθη,αὐτῇ
255,Matt,15,25,5,προσεκύνει,αὐτῷ
256,Matt,15,25,9,βοήθει,μοι
257,Matt,15,26,16,βαλεῖν,κυναρίοις
258,Matt,15,28,14,γενηθήτω,σοι
259,Matt,15,30,3,προσῆλθον,αὐτῷ
260,Matt,15,32,18,προσμένουσίν,μοι
261,Matt,15,35,4,παραγγείλας,ὄχλῳ
262,Matt,15,36,14,ἐδίδου,μαθηταῖς
263,Matt,16,1,15,ἐπιδεῖξαι,αὐτοῖς
264,Matt,16,4,11,δοθήσεται,αὐτῇ
265,Matt,16,17,17,ἀπεκάλυψέν,σοι
266,Matt,16,19,2,δώσω,σοι
267,Matt,16,20,4,διεστείλατο,μαθηταῖς
268,Matt,16,21,8,δεικνύειν,μαθηταῖς
269,Matt,16,21,31,ἐγερθῆναι,ἡμέρᾳ
270,Matt,16,22,8,ἐπιτιμᾶν,αὐτῷ
271,Matt,16,22,16,ἔσται,σοι
272,Matt,16,24,23,ἀκολουθείτω,μοι
273,Matt,16,27,21,ἀποδώσει,ἑκάστῳ
274,Matt,17,3,4,ὤφθη,αὐτοῖς
275,Matt,17,9,8,ἐνετείλατο,αὐτοῖς
276,Matt,17,14,7,προσῆλθεν,αὐτῷ
277,Matt,17,16,5,προσήνεγκα,μαθηταῖς
278,Matt,17,17,21,φέρετέ,μοι
279,Matt,17,18,3,ἐπετίμησεν,αὐτῷ
280,Matt,17,19,6,προσελθόντες,Ἰησοῦ
281,Matt,17,20,31,ἀδυνατήσει,ὑμῖν
282,Matt,17,23,7,ἐγερθήσεται,ἡμέρᾳ
283,Matt,17,24,12,προσῆλθον,Πέτρῳ
284,Matt,17,25,14,δοκεῖ,σοι
285,Matt,17,26,7,ἔφη,αὐτῷ
286,Matt,17,27,27,δὸς,αὐτοῖς
287,Matt,18,1,9,προσῆλθον,Ἰησοῦ
288,Matt,18,6,14,συμφέρει,αὐτῷ
289,Matt,18,8,19,ἐστιν,σοί
290,Matt,18,9,15,ἐστιν,σοί
291,Matt,18,12,2,δοκεῖ,ὑμῖν
292,Matt,18,12,7,γένηταί,ἀνθρώπῳ
293,Matt,18,13,19,πεπλανημένοις,τοῖς
294,Matt,18,17,15,ἔστω,σοι
295,Matt,18,19,21,γενήσεται,αὐτοῖς
296,Matt,18,21,17,ἀφήσω,αὐτῷ
297,Matt,18,23,8,ὡμοιώθη,ἀνθρώπῳ
298,Matt,18,24,6,προσηνέχθη,αὐτῷ
299,Matt,18,26,6,προσεκύνει,αὐτῷ
300,Matt,18,26,14,ἀποδώσω,σοι
301,Matt,18,27,14,ἀφῆκεν,αὐτῷ
302,Matt,18,28,13,ὤφειλεν,αὐτῷ
303,Matt,18,29,14,ἀποδώσω,σοι
304,Matt,18,31,14,διεσάφησαν,κυρίῳ
305,Matt,18,32,16,ἀφῆκά,σοι
306,Matt,18,34,9,παρέδωκεν,βασανισταῖς
307,Matt,18,35,9,ποιήσει,ὑμῖν
308,Matt,18,35,15,ἀφῆτε,ἀδελφῷ
309,Matt,19,2,3,ἠκολούθησαν,αὐτῷ
310,Matt,19,3,3,προσῆλθον,αὐτῷ
311,Matt,19,3,11,ἔξεστιν,ἀνθρώπῳ
312,Matt,19,5,15,κολληθήσεται,γυναικὶ
313,Matt,19,8,10,ἐπέτρεψεν,ὑμῖν
314,Matt,19,11,12,δέδοται,οἷς
315,Matt,19,13,3,προσηνέχθησαν,αὐτῷ
316,Matt,19,13,9,ἐπιθῇ,αὐτοῖς
317,Matt,19,13,16,ἐπετίμησαν,αὐτοῖς
318,Matt,19,15,5,ἐπιθεὶς,αὐτοῖς
319,Matt,19,21,2,ἔφη,αὐτῷ
320,Matt,19,21,16,δὸς,πτωχοῖς
321,Matt,19,21,25,ἀκολούθει,μοι
322,Matt,19,27,13,ἠκολουθήσαμέν,σοι
323,Matt,19,27,17,ἔσται,ἡμῖν
324,Matt,19,28,13,ἀκολουθήσαντές,μοι
325,Matt,20,1,8,ἐστιν,ἀνθρώπῳ
326,Matt,20,4,16,δώσω,ὑμῖν
327,Matt,20,8,17,ἀπόδος,αὐτοῖς
328,Matt,20,12,11,ἐποίησας,ἡμῖν
329,Matt,20,12,13,βαστάσασι,τοῖς
330,Matt,20,13,14,συνεφώνησάς,μοι
331,Matt,20,14,10,δοῦναι,ἐσχάτῳ
332,Matt,20,15,3,ἔξεστίν,μοι
333,Matt,20,18,11,καὶ,τοῖς
334,Matt,20,18,12,καὶ,ἀρχιερεῦσιν
335,Matt,20,18,14,καὶ,γραμματεῦσιν
336,Matt,20,18,18,κατακρινοῦσιν,θανάτῳ
337,Matt,20,19,5,παραδώσουσιν,ἔθνεσιν
338,Matt,20,19,16,ἐγερθήσεται,ἡμέρᾳ
339,Matt,20,20,3,προσῆλθεν,αὐτῷ
340,Matt,20,23,22,ἡτοίμασται,οἷς
341,Matt,20,29,7,ἠκολούθησεν,αὐτῷ
342,Matt,20,31,5,ἐπετίμησεν,αὐτοῖς
343,Matt,20,32,12,ποιήσω,ὑμῖν
344,Matt,20,34,14,ἠκολούθησαν,αὐτῷ
345,Matt,21,2,21,ἀγάγετέ,μοι
346,Matt,21,5,10,ἔρχεταί,σοι
347,Matt,21,6,9,συνέταξεν,αὐτοῖς
348,Matt,21,14,3,προσῆλθον,αὐτῷ
349,Matt,21,23,8,προσῆλθον,αὐτῷ
350,Matt,21,23,9,προσῆλθον,διδάσκοντι
351,Matt,21,23,25,ἔδωκεν,σοι
352,Matt,21,25,29,ἐπιστεύσατε,αὐτῷ
353,Matt,21,27,4,ἀποκριθέντες,Ἰησοῦ
354,Matt,21,27,9,ἔφη,αὐτοῖς
355,Matt,21,28,3,δοκεῖ,ὑμῖν
356,Matt,21,28,11,προσελθὼν,πρώτῳ
357,Matt,21,30,4,προσελθὼν,δευτέρῳ
358,Matt,21,32,12,ἐπιστεύσατε,αὐτῷ
359,Matt,21,32,20,ἐπίστευσαν,αὐτῷ
360,Matt,21,32,29,πιστεῦσαι,αὐτῷ
361,Matt,21,33,12,περιέθηκεν,αὐτῷ
362,Matt,21,33,25,ἐξέδετο,γεωργοῖς
363,Matt,21,36,10,ἐποίησαν,αὐτοῖς
364,Matt,21,40,11,ποιήσει,γεωργοῖς
365,Matt,21,41,12,ἐκδώσεται,γεωργοῖς
366,Matt,21,41,15,ἀποδώσουσιν,αὐτῷ
367,Matt,21,43,15,δοθήσεται,ἔθνει
368,Matt,22,2,6,Ὡμοιώθη,ἀνθρώπῳ
369,Matt,22,2,12,ἐποίησεν,υἱῷ
370,Matt,22,4,7,κεκλημένοις,τοῖς
371,Matt,22,16,3,ἀποστέλλουσιν,αὐτῷ
372,Matt,22,16,27,μέλει,σοι
373,Matt,22,17,5,δοκεῖ,σοι
374,Matt,22,17,10,δοῦναι,Καίσαρι
375,Matt,22,19,2,ἐπιδείξατέ,μοι
376,Matt,22,19,10,προσήνεγκαν,αὐτῷ
377,Matt,22,21,11,Ἀπόδοτε,Καίσαρι
378,Matt,22,23,6,προσῆλθον,αὐτῷ
379,Matt,22,24,22,ἀναστήσει,ἀδελφῷ
380,Matt,22,25,21,ἀφῆκεν,ἀδελφῷ
381,Matt,22,37,4,ἔφη,αὐτῷ
382,Matt,22,42,3,δοκεῖ,ὑμῖν
383,Matt,22,46,5,ἀποκριθῆναι,αὐτῷ
384,Matt,23,1,6,καὶ,ὄχλοις
385,Matt,23,1,9,καὶ,μαθηταῖς
386,Matt,23,4,15,θέλουσιν,δακτύλῳ
387,Matt,23,5,11,θεαθῆναι,ἀνθρώποις
388,Matt,23,21,12,κατοικοῦντι,τῷ
389,Matt,23,22,15,καθημένῳ,τῷ
390,Matt,23,27,9,παρομοιάζετε,τάφοις
391,Matt,23,31,3,μαρτυρεῖτε,ἑαυτοῖς
392,Matt,23,38,3,ἀφίεται,ὑμῖν
393,Matt,24,1,15,ἐπιδεῖξαι,αὐτῷ
394,Matt,24,3,10,προσῆλθον,αὐτῷ
395,Matt,24,14,16,κηρυχθήσεται,ἔθνεσιν
396,Matt,24,19,3,ἐχούσαις,ταῖς
397,Matt,24,19,6,καὶ,ἐχούσαις
398,Matt,24,19,9,καὶ,θηλαζούσαις
399,Matt,24,19,8,θηλαζούσαις,ταῖς
400,Matt,24,25,3,προείρηκα,ὑμῖν
401,Matt,24,42,7,ἔρχεται,ἡμέρᾳ
402,Matt,24,43,10,ἔρχεται,φυλακῇ
403,Matt,24,44,8,δοκεῖτε,ᾗ
404,Matt,24,44,11,ἔρχεται,ὥρᾳ
405,Matt,24,45,19,δοῦναι,αὐτοῖς
406,Matt,24,47,6,ὑπάρχουσιν,πᾶσιν
407,Matt,24,47,7,ὑπάρχουσιν,τοῖς
408,Matt,24,50,9,προσδοκᾷ,ᾗ
409,Matt,24,50,15,γινώσκει,ᾗ
410,Matt,25,1,8,ὁμοιωθήσεται,παρθένοις
411,Matt,25,8,8,Δότε,ἡμῖν
412,Matt,25,9,10,καὶ,ἡμῖν
413,Matt,25,9,12,καὶ,ὑμῖν
414,Matt,25,9,20,ἀγοράσατε,ἑαυταῖς
415,Matt,25,11,12,ἄνοιξον,ἡμῖν
416,Matt,25,14,11,παρέδωκεν,αὐτοῖς
417,Matt,25,15,2,ἔδωκεν,ᾧ
418,Matt,25,15,13,καὶ,ἑκάστῳ
419,Matt,25,20,16,παρέδωκας,μοι
420,Matt,25,21,2,ἔφη,αὐτῷ
421,Matt,25,22,12,παρέδωκας,μοι
422,Matt,25,23,2,ἔφη,αὐτῷ
423,Matt,25,27,9,βαλεῖν,τραπεζίταις
424,Matt,25,28,9,ἔχοντι,τῷ
425,Matt,25,28,10,δότε,ἔχοντι
426,Matt,25,29,1,ἔχοντι,τῷ
427,Matt,25,29,4,ἔχοντι,παντὶ
428,Matt,25,29,3,δοθήσεται,ἔχοντι
429,Matt,25,34,18,ἡτοιμασμένην,ὑμῖν
430,Matt,25,35,5,ἐδώκατέ,μοι
431,Matt,25,37,3,ἀποκριθήσονται,αὐτῷ
432,Matt,25,40,13,ἐποιήσατε,ἑνὶ
433,Matt,25,40,20,ἐποιήσατε,ἐμοὶ
434,Matt,25,41,20,καὶ,διαβόλῳ
435,Matt,25,41,23,καὶ,ἀγγέλοις
436,Matt,25,42,6,ἐδώκατέ,μοι
437,Matt,25,44,25,διηκονήσαμέν,σοι
438,Matt,25,45,3,ἀποκριθήσεται,αὐτοῖς
439,Matt,26,4,6,κρατήσωσιν,δόλῳ
440,Matt,26,7,2,προσῆλθεν,αὐτῷ
441,Matt,26,9,8,δοθῆναι,πτωχοῖς
442,Matt,26,10,11,παρέχετε,γυναικί
443,Matt,26,15,4,δοῦναι,μοι
444,Matt,26,15,7,παραδώσω,ὑμῖν
445,Matt,26,15,13,ἔστησαν,αὐτῷ
446,Matt,26,17,3,προσῆλθον,πρώτῃ
447,Matt,26,17,10,προσῆλθον,Ἰησοῦ
448,Matt,26,17,15,ἑτοιμάσωμέν,σοι
449,Matt,26,19,7,συνέταξεν,αὐτοῖς
450,Matt,26,24,25,ἦν,αὐτῷ
451,Matt,26,26,14,δοὺς,μαθηταῖς
452,Matt,26,27,7,ἔδωκεν,αὐτοῖς
453,Matt,26,34,2,ἔφη,αὐτῷ
454,Matt,26,48,6,ἔδωκεν,αὐτοῖς
455,Matt,26,49,5,προσελθὼν,Ἰησοῦ
456,Matt,26,53,12,παραστήσει,μοι
457,Matt,26,58,5,ἠκολούθει,αὐτῷ
458,Matt,26,66,2,δοκεῖ,ὑμῖν
459,Matt,26,68,3,Προφήτευσον,ἡμῖν
460,Matt,26,69,11,προσῆλθεν,αὐτῷ
461,Matt,27,2,7,παρέδωκαν,Πιλάτῳ
462,Matt,27,3,14,καὶ,τοῖς
463,Matt,27,3,15,καὶ,ἀρχιερεῦσιν
464,Matt,27,3,17,καὶ,πρεσβυτέροις
465,Matt,27,10,11,συνέταξέν,μοι
466,Matt,27,12,3,κατηγορεῖσθαι,τῷ
467,Matt,27,14,4,ἀπεκρίθη,αὐτῷ
468,Matt,27,15,10,ἀπολύειν,ὄχλῳ
469,Matt,27,17,11,ἀπολύσω,ὑμῖν
470,Matt,27,19,15,καὶ,σοὶ
471,Matt,27,19,18,καὶ,δικαίῳ
472,Matt,27,21,13,ἀπολύσω,ὑμῖν
473,Matt,27,26,3,ἀπέλυσεν,αὐτοῖς
474,Matt,27,28,7,περιέθηκαν,αὐτῷ
475,Matt,27,29,22,ἐνέπαιξαν,αὐτῷ
476,Matt,27,31,4,ἐνέπαιξαν,αὐτῷ
477,Matt,27,34,2,ἔδωκαν,αὐτῷ
478,Matt,27,46,9,ἀνεβόησεν,φωνῇ
479,Matt,27,48,15,περιθεὶς,καλάμῳ
480,Matt,27,50,6,κράξας,φωνῇ
481,Matt,27,53,17,ἐνεφανίσθησαν,πολλοῖς
482,Matt,27,55,12,ἠκολούθησαν,Ἰησοῦ
483,Matt,27,55,17,διακονοῦσαι,αὐτῷ
484,Matt,27,57,16,ἐμαθητεύθη,Ἰησοῦ
485,Matt,27,58,4,ᾐτήσατο,Πιλάτῳ
486,Matt,27,59,9,ἐνετύλιξεν,σινδόνι
487,Matt,27,60,19,προσκυλίσας,θύρᾳ
488,Matt,27,65,2,ἔφη,αὐτοῖς
489,Matt,28,1,4,ἐπιφωσκούσῃ,τῇ
